GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,AIANHHA,URBRURALA,NAME,G79001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,Urban/Rural Code,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Median rent asked
"G06008701001001","2000","California","06","Santa Cruz","087",,,"100100","1",,,"Block Group 1",1625
"G06008701001002","2000","California","06","Santa Cruz","087",,,"100100","2",,,"Block Group 2",0
"G06008701002001","2000","California","06","Santa Cruz","087",,,"100200","1",,,"Block Group 1",0
"G06008701002002","2000","California","06","Santa Cruz","087",,,"100200","2",,,"Block Group 2",0
"G06008701002003","2000","California","06","Santa Cruz","087",,,"100200","3",,,"Block Group 3",0
"G06008701002004","2000","California","06","Santa Cruz","087",,,"100200","4",,,"Block Group 4",0
"G06008701002005","2000","California","06","Santa Cruz","087",,,"100200","5",,,"Block Group 5",850
"G06008701002006","2000","California","06","Santa Cruz","087",,,"100200","6",,,"Block Group 6",0
"G06008701002007","2000","California","06","Santa Cruz","087",,,"100200","7",,,"Block Group 7",0
"G06008701003001","2000","California","06","Santa Cruz","087",,,"100300","1",,,"Block Group 1",725
"G06008701003002","2000","California","06","Santa Cruz","087",,,"100300","2",,,"Block Group 2",0
"G06008701004001","2000","California","06","Santa Cruz","087",,,"100400","1",,,"Block Group 1",0
"G06008701005001","2000","California","06","Santa Cruz","087",,,"100500","1",,,"Block Group 1",0
"G06008701005002","2000","California","06","Santa Cruz","087",,,"100500","2",,,"Block Group 2",1375
"G06008701005003","2000","California","06","Santa Cruz","087",,,"100500","3",,,"Block Group 3",0
"G06008701006001","2000","California","06","Santa Cruz","087",,,"100600","1",,,"Block Group 1",0
"G06008701006002","2000","California","06","Santa Cruz","087",,,"100600","2",,,"Block Group 2",0
"G06008701006003","2000","California","06","Santa Cruz","087",,,"100600","3",,,"Block Group 3",1625
"G06008701007001","2000","California","06","Santa Cruz","087",,,"100700","1",,,"Block Group 1",0
"G06008701007002","2000","California","06","Santa Cruz","087",,,"100700","2",,,"Block Group 2",1275
"G06008701008001","2000","California","06","Santa Cruz","087",,,"100800","1",,,"Block Group 1",0
"G06008701008002","2000","California","06","Santa Cruz","087",,,"100800","2",,,"Block Group 2",0
"G06008701008003","2000","California","06","Santa Cruz","087",,,"100800","3",,,"Block Group 3",0
"G06008701008004","2000","California","06","Santa Cruz","087",,,"100800","4",,,"Block Group 4",0
"G06008701008005","2000","California","06","Santa Cruz","087",,,"100800","5",,,"Block Group 5",0
"G06008701008006","2000","California","06","Santa Cruz","087",,,"100800","6",,,"Block Group 6",0
"G06008701008007","2000","California","06","Santa Cruz","087",,,"100800","7",,,"Block Group 7",950
