id,Total,White,Black,Indian_Alaska,Asian,Hawaiian_Pacific,Some_Other,Two_or_More,Hispanic_Latino
60871001001,42708,44201,,,,,,,
60871001002,109601,110156,,,,,,2499,
60871002001,70179,69345,,,78042,,,,
60871002002,100046,100781,,,,,,57283,
60871002003,79907,80202,,,32208,,,,
60871002004,51992,62538,,,,,,,
60871002005,32832,32832,,,,,,81250,40000
60871002006,17260,22262,,,,,,,14868
60871002007,88011,89091,,,,,,,
60871003001,82212,80096,,,250001,,,,
60871003002,105909,110921,,,,,,,56250
60871004001,26570,29009,,,24728,,,4018,19125
60871005001,82885,82949,,,,,19375,,47614
60871005002,80441,80882,,,76429,,250001,,63229
60871005003,75726,76552,2499,,,,,2499,50789
60871006001,79444,97163,28068,,,,,21023,95433
60871006002,78785,79549,,,,,,17589,67500
60871006003,76367,72500,,,,,,,148519
60871007001,62917,58750,,,,,49625,55893,53438
60871007002,27156,27344,,,,,94875,14010,36979
60871008001,55843,56134,,,,,,,56512
60871008002,68571,77500,,,,,,,62788
60871008003,11744,11744,,,,,,,
60871008004,55163,52159,,,81042,,,,66700
60871008005,90160,88571,,,,,92404,,92404
60871008006,77845,72344,,,,,,,41830
60871008007,49710,49928,,,,,,,97898
60871009001,100563,100313,,,,,,,230078
60871009002,51115,51673,,,,,,9073,75200
60871009003,38665,38153,,,,,,,
60871009004,75388,75388,,,,,,,76767
60871009005,55156,55156,,,,,,,6985
60871010001,23485,27035,2499,17303,22135,,14706,2499,41250
60871010002,36797,35573,,,,,,,36276
60871010003,40643,41434,,,,,,11776,
60871010004,12917,13788,,,,,,,112100
60871010005,62969,62969,,,,,,,
60871010006,33036,32250,,,54271,,35096,,23875
60871010007,32866,28375,,,2499,,33194,67917,19107
60871011001,54313,54313,,,,,,,
60871011002,51799,52104,,,,,,,92688
60871011003,88125,88125,,,,,,,
60871011004,91000,91000,,,,,,,49408
60871011005,79938,79938,,,,,,,
60871011006,94135,100163,250001,,,,,250001,56140
60871011007,86250,88788,,,,,,,7368
60871012001,56250,59148,11678,,7159,,,,121442
60871012002,81500,72273,,,,,,,
60871012003,60625,59028,,,,,,85708,72454
60871101001,43563,19224,,,70972,,66033,,45406
60871101002,27000,42083,,,15231,,26250,,42045
60871101003,52188,54750,,,,,60682,,73889
60871101004,45613,45637,,107981,72969,,29511,,36356
60871102001,64052,57794,,,88665,,107679,,78209
60871102002,39637,41700,,,,,38266,,40000
60871102003,53355,54013,,,,,9545,,37721
60871102004,37583,34186,,,81806,,36319,,28625
60871103001,46036,45893,,,,,44167,,46036
60871103002,20794,21085,,,,,30769,,21528
60871103003,43014,42877,,,,,65323,,43992
60871103004,27679,28929,,,35694,,22143,,27125
60871104001,54077,53548,,,100673,,56563,32841,45076
60871104002,38750,39219,,,,,28681,70733,43125
60871105011,38967,41591,,,,,20417,,26439
60871105012,38808,38983,,,,,40104,,38083
60871105013,56528,61944,,,81806,,48021,,51810
60871105021,49650,46875,,,130455,,60050,125455,47550
60871105022,59444,62566,,,153922,,20417,,52159
60871105023,71250,62262,,,30333,,87054,,91389
60871106001,48938,44570,,,138370,,49671,,48344
60871106002,88875,74917,,,192011,,54706,,83173
60871106003,49851,49137,,,,,67667,,50563
60871106004,26667,27599,,,,,18456,,26823
60871107001,73661,73893,,,39375,,58571,,74143
60871107002,43352,42056,,,,,69583,,59583
60871202001,95446,95278,,69500,102917,,130500,55625,71000
60871202002,80536,80893,,,,,,49375,53490
60871203011,98059,98830,,,11739,,,250001,59250
60871203012,84598,83705,,,87500,,,,
60871203021,94375,94866,,,,,,,120365
60871203022,46397,63250,,,,,,35781,
60871203023,90455,90114,,,,,,,
60871204001,64732,67786,,,,,,,
60871204002,91538,91346,,,,,,250001,250001
60871204003,58750,58750,,,,,,,
60871204004,52543,52543,,,,,,,
60871205001,96991,95880,,,122132,,,64861,
60871205002,118594,113125,,,123359,,118750,,213125
60871205003,75807,75807,,,,,,,75260
60871206001,74044,87083,,,,,,,
60871206002,88750,87689,,,,,,,197778
60871206003,67120,72778,,,,,,,
60871206004,102955,103409,,,,,,,79750
60871207001,74567,73510,,,,,,203482,
60871207002,73542,79125,,,41774,,,52813,250001
60871207003,89167,87031,,,250001,,,,59440
60871208001,56937,56778,,,106833,,,57656,104148
60871208002,104279,104135,,,,,108036,,107857
60871208003,109007,108640,,,116875,,2499,47292,46458
60871209001,82596,79167,,,,,,,
60871209002,79049,79150,,,,,,,
