id,total
60871001001,1999
60871001002,1995
60871002001,1996
60871002002,1998
60871002003,2002
60871002004,2004
60871002005,2008
60871002006,2011
60871002007,2004
60871003001,2001
60871003002,1997
60871004001,2004
60871004002,
60871004003,2011
60871005001,2003
60871005002,2007
60871005003,2004
60871006001,2004
60871006002,2001
60871006003,2000
60871007001,2005
60871007002,2011
60871008001,2007
60871008002,2007
60871008003,2008
60871008004,2010
60871008005,2005
60871008006,2006
60871009001,1995
60871009002,2005
60871009003,2007
60871009004,2005
60871009005,2006
60871010001,2009
60871010002,2011
60871010003,2008
60871010004,2007
60871010005,2000
60871010006,2010
60871010007,2011
60871011001,1994
60871011002,2009
60871011003,1996
60871011004,2002
60871011005,2005
60871012001,2006
60871012002,1995
60871012003,1999
60871101001,2003
60871101002,2003
60871101003,2002
60871101004,2004
60871102001,2003
60871102002,2005
60871102003,2000
60871102004,2004
60871102005,2000
60871103001,2004
60871103002,2007
60871103003,2011
60871103004,2005
60871104001,2005
60871104002,2005
60871104003,2007
60871104004,
60871105011,2006
60871105012,2006
60871105013,2001
60871105014,2002
60871105021,2005
60871105022,2005
60871105023,2000
60871106001,2005
60871106002,2001
60871106003,2004
60871106004,2005
60871106005,2003
60871107001,2002
60871107002,2002
60871107003,1998
60871202001,2002
60871202002,1994
60871203011,2001
60871203012,2002
60871203013,1999
60871203021,2003
60871203022,2004
60871203023,1997
60871204001,2000
60871204002,1990
60871204003,2005
60871204004,2004
60871205001,1998
60871205002,1994
60871205003,2001
60871205004,2002
60871205005,2004
60871206001,2002
60871206002,2003
60871206003,2001
60871206004,2003
60871206005,1995
60871207001,2003
60871207002,1998
60871207003,2002
60871208001,2002
60871208002,2004
60871208003,1997
60871209001,2004
60871209002,2007
60871209003,2004
60871209004,2007
60871210001,2004
60871210002,2000
60871210003,1994
60871211001,1998
60871211002,2002
60871212001,2002
60871212002,1997
60871212003,2003
60871212004,1992
60871212005,2008
60871213001,2003
60871213002,1995
60871213003,2004
60871213004,2004
60871214011,2002
60871214012,2005
60871214021,2005
60871214022,2005
60871214023,2004
60871214031,2005
60871214032,2001
60871214033,2005
60871215001,1995
60871215002,2004
60871215003,2009
60871215004,2009
60871215005,2009
60871216001,2000
60871216002,2004
60871216003,2006
60871216004,1999
60871216005,2008
60871217001,2005
60871217002,2002
60871217003,2001
60871217004,2005
60871217005,2005
60871217006,2000
60871218001,2003
60871218002,2007
60871218003,2006
60871218004,2005
60871220011,1994
60871220012,1995
60871220013,2005
60871220014,2006
60871220015,1999
60871220021,1993
60871220022,2002
60871220031,1998
60871220032,2003
60871220033,2000
60871220034,2005
60871220035,2006
60871221001,2004
60871221002,2002
60871221003,2005
60871222011,1999
60871222012,2006
60871222013,1996
60871222014,1997
60871222015,2007
60871222016,2004
60871222017,2005
60871222021,2001
60871222031,2001
60871222032,2005
60871223001,2006
60871223002,2002
60871223003,2000
60871224001,1999
60871224002,2002
60871224003,2001
60871224004,1989
60871224005,2001
60871224006,2001
60871225001,1999
60871225002,2001
60871225003,1998
60871225004,1998
60871231001,1999
60871231002,2006
60871233001,2002
60879901000,
