id,value
60871001001,677200
60871001002,679200
60871002001,668800
60871002002,629400
60871002003,606300
60871002004,645500
60871002005,635200
60871002006,574200
60871002007,665700
60871003001,805100
60871003002,792500
60871004001,291900
60871004002,
60871004003,9999
60871005001,756600
60871005002,569200
60871005003,807500
60871006001,756300
60871006002,622800
60871006003,699100
60871007001,232700
60871007002,1000001
60871008001,719800
60871008002,685200
60871008003,516700
60871008004,486700
60871008005,722800
60871008006,658500
60871009001,650900
60871009002,603300
60871009003,665500
60871009004,991700
60871009005,
60871010001,
60871010002,778800
60871010003,610400
60871010004,
60871010005,559500
60871010006,426500
60871010007,830400
60871011001,808800
60871011002,628900
60871011003,575300
60871011004,998000
60871011005,478300
60871012001,444700
60871012002,750000
60871012003,662000
60871101001,283200
60871101002,316900
60871101003,329800
60871101004,332500
60871102001,423700
60871102002,400000
60871102003,446000
60871102004,480000
60871102005,413400
60871103001,267300
60871103002,350000
60871103003,
60871103004,263600
60871104001,488600
60871104002,203800
60871104003,220500
60871104004,412600
60871105011,327600
60871105012,297100
60871105013,253800
60871105014,363200
60871105021,221800
60871105022,296300
60871105023,349100
60871106001,282600
60871106002,357800
60871106003,291300
60871106004,223500
60871106005,257500
60871107001,304800
60871107002,394200
60871107003,416000
60871202001,661100
60871202002,631500
60871203011,550200
60871203012,547400
60871203013,494400
60871203021,498500
60871203022,603500
60871203023,523600
60871204001,413200
60871204002,561200
60871204003,546000
60871204004,405800
60871205001,935100
60871205002,900000
60871205003,420000
60871205004,421800
60871205005,646600
60871206001,332400
60871206002,570400
60871206003,479800
60871206004,557400
60871206005,639700
60871207001,525500
60871207002,498600
60871207003,450000
60871208001,433800
60871208002,740900
60871208003,926300
60871209001,806600
60871209002,611800
60871209003,644700
60871209004,444000
60871210001,833700
60871210002,841000
60871210003,839700
60871211001,934500
60871211002,569700
60871212001,731000
60871212002,785200
60871212003,695100
60871212004,1000001
60871212005,896600
60871213001,632700
60871213002,629100
60871213003,617100
60871213004,341700
60871214011,377500
60871214012,603000
60871214021,477200
60871214022,414900
60871214023,532300
60871214031,386800
60871214032,444800
60871214033,519200
60871215001,486900
60871215002,553000
60871215003,286000
60871215004,707500
60871215005,562500
60871216001,254400
60871216002,955400
60871216003,569900
60871216004,623200
60871216005,155200
60871217001,478800
60871217002,555100
60871217003,380700
60871217004,290600
60871217005,483300
60871217006,415000
60871218001,665600
60871218002,366900
60871218003,612900
60871218004,840500
60871220011,911500
60871220012,701600
60871220013,945300
60871220014,233800
60871220015,768000
60871220021,805700
60871220022,744200
60871220031,704200
60871220032,368500
60871220033,420100
60871220034,647900
60871220035,205600
60871221001,630400
60871221002,610500
60871221003,415000
60871222011,666000
60871222012,951300
60871222013,668000
60871222014,741500
60871222015,545300
60871222016,645100
60871222017,633900
60871222021,735100
60871222031,788100
60871222032,717900
60871223001,703800
60871223002,908000
60871223003,745600
60871224001,611900
60871224002,1000001
60871224003,755500
60871224004,631700
60871224005,667300
60871224006,354900
60871225001,309200
60871225002,316700
60871225003,414100
60871225004,378100
60871231001,398200
60871231002,407900
60871233001,757600
