id,Total
060871001001,290
060871001002,562
060871002001,204
060871002002,342
060871002003,596
060871002004,351
060871002005,591
060871002006,421
060871002007,284
060871003001,640
060871003002,626
060871004001,157
060871004002,0
060871004003,309
060871005001,424
060871005002,924
060871005003,932
060871006001,660
060871006002,362
060871006003,359
060871007001,417
060871007002,654
060871008001,496
060871008002,494
060871008003,446
060871008004,1003
060871008005,589
060871008006,274
060871009001,447
060871009002,847
060871009003,227
060871009004,470
060871009005,389
060871010001,876
060871010002,349
060871010003,328
060871010004,330
060871010005,234
060871010006,892
060871010007,646
060871011001,693
060871011002,390
060871011003,250
060871011004,762
060871011005,416
060871012001,510
060871012002,350
060871012003,530
060871101001,473
060871101002,295
060871101003,609
060871101004,1190
060871102001,453
060871102002,537
060871102003,364
060871102004,385
060871102005,492
060871103001,388
060871103002,447
060871103003,426
060871103004,598
060871104001,581
060871104002,388
060871104003,342
060871104004,758
060871105011,757
060871105012,363
060871105013,516
060871105014,497
060871105021,526
060871105022,717
060871105023,330
060871106001,550
060871106002,287
060871106003,269
060871106004,674
060871106005,484
060871107001,352
060871107002,270
060871107003,257
060871202001,1149
060871202002,480
060871203011,850
060871203012,823
060871203013,662
060871203021,293
060871203022,574
060871203023,283
060871204001,691
060871204002,429
060871204003,946
060871204004,436
060871205001,415
060871205002,704
060871205003,739
060871205004,628
060871205005,379
060871206001,351
060871206002,397
060871206003,330
060871206004,498
060871206005,412
060871207001,444
060871207002,681
060871207003,955
060871208001,1109
060871208002,777
060871208003,647
060871209001,1150
060871209002,501
060871209003,1057
060871209004,645
060871210001,733
060871210002,363
060871210003,411
060871211001,271
060871211002,883
060871212001,284
060871212002,486
060871212003,977
060871212004,517
060871212005,280
060871213001,728
060871213002,301
060871213003,446
060871213004,220
060871214011,350
060871214012,556
060871214021,545
060871214022,760
060871214023,240
060871214031,827
060871214032,359
060871214033,254
060871215001,525
060871215002,458
060871215003,1022
060871215004,548
060871215005,228
060871216001,333
060871216002,464
060871216003,1044
060871216004,719
060871216005,618
060871217001,987
060871217002,186
060871217003,255
060871217004,1343
060871217005,272
060871217006,278
060871218001,661
060871218002,883
060871218003,964
060871218004,286
060871220011,597
060871220012,231
060871220013,252
060871220014,254
060871220015,617
060871220021,786
060871220022,615
060871220031,738
060871220032,441
060871220033,1007
060871220034,341
060871220035,267
060871221001,593
060871221002,666
060871221003,579
060871222011,470
060871222012,969
060871222013,503
060871222014,261
060871222015,404
060871222016,481
060871222017,297
060871222021,898
060871222031,1095
060871222032,650
060871223001,880
060871223002,429
060871223003,932
060871224001,880
060871224002,350
060871224003,541
060871224004,370
060871224005,253
060871224006,415
060871225001,274
060871225002,392
060871225003,563
060871225004,244
060871231001,411
060871231002,389
060871233001,449
060879901000,0
