Id,Id2,Geography,Total,Margin of Error; Total
1500000US060871001001,060871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",333,61
1500000US060871001002,060871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",457,58
1500000US060871002001,060871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",364,107
1500000US060871002002,060871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",280,82
1500000US060871002003,060871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",551,116
1500000US060871002004,060871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",295,105
1500000US060871002005,060871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",581,121
1500000US060871002006,060871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",378,106
1500000US060871002007,060871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",274,135
1500000US060871003001,060871003001,"Block Group 1, Census Tract 1003, Santa Cruz County, California",608,74
1500000US060871003002,060871003002,"Block Group 2, Census Tract 1003, Santa Cruz County, California",719,94
1500000US060871004001,060871004001,"Block Group 1, Census Tract 1004, Santa Cruz County, California",141,33
1500000US060871004002,060871004002,"Block Group 2, Census Tract 1004, Santa Cruz County, California",0,12
1500000US060871004003,060871004003,"Block Group 3, Census Tract 1004, Santa Cruz County, California",319,43
1500000US060871005001,060871005001,"Block Group 1, Census Tract 1005, Santa Cruz County, California",482,104
1500000US060871005002,060871005002,"Block Group 2, Census Tract 1005, Santa Cruz County, California",796,113
1500000US060871005003,060871005003,"Block Group 3, Census Tract 1005, Santa Cruz County, California",982,131
1500000US060871006001,060871006001,"Block Group 1, Census Tract 1006, Santa Cruz County, California",648,95
1500000US060871006002,060871006002,"Block Group 2, Census Tract 1006, Santa Cruz County, California",452,80
1500000US060871006003,060871006003,"Block Group 3, Census Tract 1006, Santa Cruz County, California",284,60
1500000US060871007001,060871007001,"Block Group 1, Census Tract 1007, Santa Cruz County, California",381,69
1500000US060871007002,060871007002,"Block Group 2, Census Tract 1007, Santa Cruz County, California",713,80
1500000US060871008001,060871008001,"Block Group 1, Census Tract 1008, Santa Cruz County, California",589,123
1500000US060871008002,060871008002,"Block Group 2, Census Tract 1008, Santa Cruz County, California",432,121
1500000US060871008003,060871008003,"Block Group 3, Census Tract 1008, Santa Cruz County, California",555,135
1500000US060871008004,060871008004,"Block Group 4, Census Tract 1008, Santa Cruz County, California",870,155
1500000US060871008005,060871008005,"Block Group 5, Census Tract 1008, Santa Cruz County, California",491,129
1500000US060871008006,060871008006,"Block Group 6, Census Tract 1008, Santa Cruz County, California",226,84
1500000US060871009001,060871009001,"Block Group 1, Census Tract 1009, Santa Cruz County, California",451,110
1500000US060871009002,060871009002,"Block Group 2, Census Tract 1009, Santa Cruz County, California",926,129
1500000US060871009003,060871009003,"Block Group 3, Census Tract 1009, Santa Cruz County, California",339,98
1500000US060871009004,060871009004,"Block Group 4, Census Tract 1009, Santa Cruz County, California",297,93
1500000US060871009005,060871009005,"Block Group 5, Census Tract 1009, Santa Cruz County, California",330,101
1500000US060871010001,060871010001,"Block Group 1, Census Tract 1010, Santa Cruz County, California",831,156
1500000US060871010002,060871010002,"Block Group 2, Census Tract 1010, Santa Cruz County, California",322,123
1500000US060871010003,060871010003,"Block Group 3, Census Tract 1010, Santa Cruz County, California",293,118
1500000US060871010004,060871010004,"Block Group 4, Census Tract 1010, Santa Cruz County, California",275,97
1500000US060871010005,060871010005,"Block Group 5, Census Tract 1010, Santa Cruz County, California",238,57
1500000US060871010006,060871010006,"Block Group 6, Census Tract 1010, Santa Cruz County, California",1234,183
1500000US060871010007,060871010007,"Block Group 7, Census Tract 1010, Santa Cruz County, California",589,157
1500000US060871011001,060871011001,"Block Group 1, Census Tract 1011, Santa Cruz County, California",421,94
1500000US060871011002,060871011002,"Block Group 2, Census Tract 1011, Santa Cruz County, California",420,87
1500000US060871011003,060871011003,"Block Group 3, Census Tract 1011, Santa Cruz County, California",294,84
1500000US060871011004,060871011004,"Block Group 4, Census Tract 1011, Santa Cruz County, California",803,147
1500000US060871011005,060871011005,"Block Group 5, Census Tract 1011, Santa Cruz County, California",422,107
1500000US060871012001,060871012001,"Block Group 1, Census Tract 1012, Santa Cruz County, California",366,82
1500000US060871012002,060871012002,"Block Group 2, Census Tract 1012, Santa Cruz County, California",355,72
1500000US060871012003,060871012003,"Block Group 3, Census Tract 1012, Santa Cruz County, California",625,100
1500000US060871101001,060871101001,"Block Group 1, Census Tract 1101, Santa Cruz County, California",398,122
1500000US060871101002,060871101002,"Block Group 2, Census Tract 1101, Santa Cruz County, California",377,109
1500000US060871101003,060871101003,"Block Group 3, Census Tract 1101, Santa Cruz County, California",505,116
1500000US060871101004,060871101004,"Block Group 4, Census Tract 1101, Santa Cruz County, California",1225,147
1500000US060871102001,060871102001,"Block Group 1, Census Tract 1102, Santa Cruz County, California",491,138
1500000US060871102002,060871102002,"Block Group 2, Census Tract 1102, Santa Cruz County, California",449,116
1500000US060871102003,060871102003,"Block Group 3, Census Tract 1102, Santa Cruz County, California",348,113
1500000US060871102004,060871102004,"Block Group 4, Census Tract 1102, Santa Cruz County, California",456,119
1500000US060871102005,060871102005,"Block Group 5, Census Tract 1102, Santa Cruz County, California",519,124
1500000US060871103001,060871103001,"Block Group 1, Census Tract 1103, Santa Cruz County, California",347,83
1500000US060871103002,060871103002,"Block Group 2, Census Tract 1103, Santa Cruz County, California",435,96
1500000US060871103003,060871103003,"Block Group 3, Census Tract 1103, Santa Cruz County, California",524,94
1500000US060871103004,060871103004,"Block Group 4, Census Tract 1103, Santa Cruz County, California",575,105
1500000US060871104001,060871104001,"Block Group 1, Census Tract 1104, Santa Cruz County, California",612,90
1500000US060871104002,060871104002,"Block Group 2, Census Tract 1104, Santa Cruz County, California",350,84
1500000US060871104003,060871104003,"Block Group 3, Census Tract 1104, Santa Cruz County, California",317,72
1500000US060871104004,060871104004,"Block Group 4, Census Tract 1104, Santa Cruz County, California",827,106
1500000US060871105011,060871105011,"Block Group 1, Census Tract 1105.01, Santa Cruz County, California",820,161
1500000US060871105012,060871105012,"Block Group 2, Census Tract 1105.01, Santa Cruz County, California",647,137
1500000US060871105013,060871105013,"Block Group 3, Census Tract 1105.01, Santa Cruz County, California",309,75
1500000US060871105014,060871105014,"Block Group 4, Census Tract 1105.01, Santa Cruz County, California",394,109
1500000US060871105021,060871105021,"Block Group 1, Census Tract 1105.02, Santa Cruz County, California",584,98
1500000US060871105022,060871105022,"Block Group 2, Census Tract 1105.02, Santa Cruz County, California",680,108
1500000US060871105023,060871105023,"Block Group 3, Census Tract 1105.02, Santa Cruz County, California",241,53
1500000US060871106001,060871106001,"Block Group 1, Census Tract 1106, Santa Cruz County, California",603,137
1500000US060871106002,060871106002,"Block Group 2, Census Tract 1106, Santa Cruz County, California",309,94
1500000US060871106003,060871106003,"Block Group 3, Census Tract 1106, Santa Cruz County, California",264,106
1500000US060871106004,060871106004,"Block Group 4, Census Tract 1106, Santa Cruz County, California",724,151
1500000US060871106005,060871106005,"Block Group 5, Census Tract 1106, Santa Cruz County, California",351,113
1500000US060871107001,060871107001,"Block Group 1, Census Tract 1107, Santa Cruz County, California",393,72
1500000US060871107002,060871107002,"Block Group 2, Census Tract 1107, Santa Cruz County, California",296,59
1500000US060871107003,060871107003,"Block Group 3, Census Tract 1107, Santa Cruz County, California",213,59
1500000US060871202001,060871202001,"Block Group 1, Census Tract 1202, Santa Cruz County, California",1292,98
1500000US060871202002,060871202002,"Block Group 2, Census Tract 1202, Santa Cruz County, California",517,70
1500000US060871203011,060871203011,"Block Group 1, Census Tract 1203.01, Santa Cruz County, California",929,123
1500000US060871203012,060871203012,"Block Group 2, Census Tract 1203.01, Santa Cruz County, California",780,118
1500000US060871203013,060871203013,"Block Group 3, Census Tract 1203.01, Santa Cruz County, California",670,126
1500000US060871203021,060871203021,"Block Group 1, Census Tract 1203.02, Santa Cruz County, California",279,66
1500000US060871203022,060871203022,"Block Group 2, Census Tract 1203.02, Santa Cruz County, California",527,76
1500000US060871203023,060871203023,"Block Group 3, Census Tract 1203.02, Santa Cruz County, California",325,61
1500000US060871204001,060871204001,"Block Group 1, Census Tract 1204, Santa Cruz County, California",737,117
1500000US060871204002,060871204002,"Block Group 2, Census Tract 1204, Santa Cruz County, California",395,98
1500000US060871204003,060871204003,"Block Group 3, Census Tract 1204, Santa Cruz County, California",941,158
1500000US060871204004,060871204004,"Block Group 4, Census Tract 1204, Santa Cruz County, California",462,130
1500000US060871205001,060871205001,"Block Group 1, Census Tract 1205, Santa Cruz County, California",294,44
1500000US060871205002,060871205002,"Block Group 2, Census Tract 1205, Santa Cruz County, California",732,118
1500000US060871205003,060871205003,"Block Group 3, Census Tract 1205, Santa Cruz County, California",779,121
1500000US060871205004,060871205004,"Block Group 4, Census Tract 1205, Santa Cruz County, California",640,125
1500000US060871205005,060871205005,"Block Group 5, Census Tract 1205, Santa Cruz County, California",354,87
1500000US060871206001,060871206001,"Block Group 1, Census Tract 1206, Santa Cruz County, California",388,99
1500000US060871206002,060871206002,"Block Group 2, Census Tract 1206, Santa Cruz County, California",370,53
1500000US060871206003,060871206003,"Block Group 3, Census Tract 1206, Santa Cruz County, California",357,71
1500000US060871206004,060871206004,"Block Group 4, Census Tract 1206, Santa Cruz County, California",556,90
1500000US060871206005,060871206005,"Block Group 5, Census Tract 1206, Santa Cruz County, California",358,99
1500000US060871207001,060871207001,"Block Group 1, Census Tract 1207, Santa Cruz County, California",545,113
1500000US060871207002,060871207002,"Block Group 2, Census Tract 1207, Santa Cruz County, California",588,96
1500000US060871207003,060871207003,"Block Group 3, Census Tract 1207, Santa Cruz County, California",963,138
1500000US060871208001,060871208001,"Block Group 1, Census Tract 1208, Santa Cruz County, California",1080,124
1500000US060871208002,060871208002,"Block Group 2, Census Tract 1208, Santa Cruz County, California",748,103
1500000US060871208003,060871208003,"Block Group 3, Census Tract 1208, Santa Cruz County, California",603,97
1500000US060871209001,060871209001,"Block Group 1, Census Tract 1209, Santa Cruz County, California",999,141
1500000US060871209002,060871209002,"Block Group 2, Census Tract 1209, Santa Cruz County, California",519,127
1500000US060871209003,060871209003,"Block Group 3, Census Tract 1209, Santa Cruz County, California",982,117
1500000US060871209004,060871209004,"Block Group 4, Census Tract 1209, Santa Cruz County, California",691,116
1500000US060871210001,060871210001,"Block Group 1, Census Tract 1210, Santa Cruz County, California",704,91
1500000US060871210002,060871210002,"Block Group 2, Census Tract 1210, Santa Cruz County, California",402,70
1500000US060871210003,060871210003,"Block Group 3, Census Tract 1210, Santa Cruz County, California",434,72
1500000US060871211001,060871211001,"Block Group 1, Census Tract 1211, Santa Cruz County, California",317,54
1500000US060871211002,060871211002,"Block Group 2, Census Tract 1211, Santa Cruz County, California",938,71
1500000US060871212001,060871212001,"Block Group 1, Census Tract 1212, Santa Cruz County, California",274,73
1500000US060871212002,060871212002,"Block Group 2, Census Tract 1212, Santa Cruz County, California",436,76
1500000US060871212003,060871212003,"Block Group 3, Census Tract 1212, Santa Cruz County, California",921,115
1500000US060871212004,060871212004,"Block Group 4, Census Tract 1212, Santa Cruz County, California",448,101
1500000US060871212005,060871212005,"Block Group 5, Census Tract 1212, Santa Cruz County, California",380,107
