id,ten,eleven,twelve,thirteen,fourteen
60871001001,1144,1189,1875,2100,
60871001002,1455,1940,2001,2100,1927
60871002001,,,1438,,
60871002002,1663,1656,1691,1697,1723
60871002003,1597,1454,1548,1633,1671
60871002004,1419,1572,1218,1463,1479
60871002005,1150,1366,1408,1519,1554
60871002006,1132,1223,1203,989,990
60871002007,2001,2001,1895,1448,1326
60871003001,1210,1222,2001,1129,745
60871003002,1121,1185,1232,1860,1926
60871004001,,,,,
60871004002,,,,,
60871004003,1165,1361,1378,1395,1387
60871005001,2001,2001,1957,1933,2100
60871005002,1651,1746,1660,1712,1546
60871005003,1399,2001,1520,1866,1759
60871006001,1237,1184,1184,1173,1541
60871006002,1654,1554,1391,1617,1701
60871006003,1382,1750,1563,1536,993
60871007001,1125,1266,1330,1519,1426
60871007002,863,864,875,875,1182
60871008001,1203,1238,1295,1235,1258
60871008002,1672,1405,1480,1221,1405
60871008003,1103,1189,1225,1188,1061
60871008004,1094,1146,1240,1315,1401
60871008005,1113,1180,1214,1355,1336
60871008006,1373,1324,1346,1138,1212
60871009001,1391,1819,1550,1222,1313
60871009002,1128,1045,1144,893,1174
60871009003,1434,1346,1143,1608,1604
60871009004,1530,1717,2001,1846,1903
60871009005,1335,1365,1410,1635,1708
60871010001,906,1009,1035,1082,1107
60871010002,1116,1152,1279,1337,1427
60871010003,1148,1125,1546,1495,1619
60871010004,716,922,740,789,918
60871010005,1917,2001,1833,1810,1543
60871010006,1348,1556,1499,1404,1435
60871010007,978,1044,1114,1098,1236
60871011001,1241,1523,1333,1323,1329
60871011002,1032,728,747,1606,1638
60871011003,1385,1242,1309,1331,1149
60871011004,1582,1669,1699,1696,1714
60871011005,2001,2001,1613,1574,1826
60871012001,991,1549,1554,1594,1247
60871012002,2001,2001,2001,2100,2100
60871012003,2001,2001,1920,2100,2100
60871101001,897,977,894,904,890
60871101002,769,792,929,1051,971
60871101003,846,959,1013,1037,971
60871101004,1171,1191,1179,1053,1138
60871102001,675,749,1360,1399,1632
60871102002,919,878,925,945,1278
60871102003,1017,875,1066,970,1058
60871102004,720,856,966,1525,1553
60871102005,1573,1232,1570,1241,1234
60871103001,1037,1039,1059,1050,1088
60871103002,850,842,989,857,966
60871103003,1115,1067,1047,994,942
60871103004,725,742,805,888,1106
60871104001,1009,975,1022,981,988
60871104002,1012,921,964,967,891
60871104003,1069,1196,1344,1385,1286
60871104004,1017,1304,1406,1412,1457
60871105011,946,946,964,887,1011
60871105012,941,929,1089,1028,1119
60871105013,1409,1397,1407,1560,1673
60871105014,1083,1364,1305,869,833
60871105021,1520,1068,1180,1375,1238
60871105022,1078,1159,1150,1146,1197
60871105023,1652,1656,1588,1179,1369
60871106001,943,832,1054,1097,1206
60871106002,,,859,,
60871106003,1254,1558,1571,1678,835
60871106004,662,620,441,342,688
60871106005,694,782,761,783,903
60871107001,1156,1396,1207,1427,1587
60871107002,1151,1337,1516,1617,1661
60871107003,542,545,1208,1493,1739
60871202001,1228,1250,1225,1141,1207
60871202002,1140,1125,1203,1170,1135
60871203011,1071,924,1005,1081,1056
60871203012,1206,1104,1079,873,885
60871203013,882,1938,1740,1842,1825
60871203021,823,805,848,900,1061
60871203022,1250,1309,1172,1197,1243
60871203023,790,1196,1122,1140,1155
60871204001,1572,1572,1465,1325,1582
60871204002,1213,1447,1387,1581,1589
60871204003,1010,1223,1141,1049,1234
60871204004,1138,1164,1538,1573,1375
60871205001,490,2001,2001,2100,2100
60871205002,1717,1625,1661,1745,
60871205003,1025,1104,1243,1017,1026
60871205004,344,349,340,,
60871205005,1446,935,924,928,928
60871206001,1386,1458,1438,1338,
60871206002,974,938,925,895,787
60871206003,1283,1451,1435,1360,1306
60871206004,755,647,633,,697
60871206005,1050,1290,1348,1383,1394
60871207001,1004,672,693,844,1026
60871207002,950,955,996,964,1030
60871207003,1301,1405,1313,1338,1017
60871208001,2001,2001,2001,2100,2100
60871208002,1404,1562,1559,1565,1729
60871208003,1081,1108,1108,1065,
60871209001,1263,1451,1627,1595,1483
60871209002,957,906,979,896,958
60871209003,1263,1186,1473,1455,1444
60871209004,1712,,1745,1772,1766
60871210001,987,1442,1473,2100,2100
60871210002,1093,986,985,952,952
60871210003,1327,1256,1047,1078,973
60871211001,1087,1096,1152,1750,1792
60871211002,1294,1446,1319,1355,1375
60871212001,2001,2001,1404,2100,1750
60871212002,1822,1750,2001,2100,2100
60871212003,733,1304,1266,763,697
60871212004,649,1175,1280,1097,1125
60871212005,2001,1917,1625,1651,1683
60871213001,1100,1166,1564,1716,1619
60871213002,2001,2001,2001,,
60871213003,1741,1701,1621,1709,1713
60871213004,1344,1399,1685,1697,1713
60871214011,1031,868,836,1007,1038
60871214012,1370,1319,1368,1331,1315
60871214021,1296,1282,1421,1319,1374
60871214022,1233,1399,1312,1308,1305
60871214023,1193,645,645,674,1733
60871214031,638,994,549,343,1133
60871214032,1290,1349,1349,1237,1193
60871214033,1240,1193,1237,1234,1614
60871215001,982,1461,1356,,1779
60871215002,1488,1462,1461,1653,1221
60871215003,1460,1540,1508,1516,1407
60871215004,1277,1334,1310,1215,1241
60871215005,1162,1177,1167,1223,1319
60871216001,1290,1102,1190,1205,1288
60871216002,1383,1591,1806,2000,1905
60871216003,1439,1514,1202,1242,1214
60871216004,1687,1772,1229,1705,1829
60871216005,878,1035,898,882,861
60871217001,1312,1318,1382,1445,1483
60871217002,416,440,416,725,1292
60871217003,1567,1651,1709,1850,2100
60871217004,1376,1388,1430,1539,1552
60871217005,1146,1206,1628,1726,1678
60871217006,745,1008,830,950,1321
60871218001,1627,1680,1836,1919,1858
60871218002,1423,1400,1389,1337,1312
60871218003,1131,1173,1352,1448,1641
60871218004,1137,1176,2001,2100,2100
60871220011,1112,1198,1146,1036,1375
60871220012,859,,,,
60871220013,1307,1667,1665,1977,1743
60871220014,590,1261,1409,1517,1830
60871220015,1505,1438,1218,1247,2100
60871220021,872,1325,1367,1297,1250
60871220022,2001,2001,2001,2100,1906
60871220031,662,680,946,935,1417
60871220032,1585,1446,1589,1480,1468
60871220033,1485,1423,1782,1844,1260
60871220034,1244,1426,1207,1267,1604
60871220035,1356,1316,1260,781,778
60871221001,997,1065,1077,1280,1385
60871221002,1156,1629,1621,1614,1766
60871221003,1240,1054,1193,1259,1295
60871222011,2001,2001,2001,2100,
60871222012,2001,2001,1808,1766,1881
60871222013,2001,1885,,,
60871222014,1023,1099,741,648,689
60871222015,1203,1402,1450,1475,1760
60871222016,1056,1085,1283,1265,981
60871222017,1356,1407,1395,1442,1538
60871222021,1930,2001,2001,2100,2100
60871222031,1688,1690,1651,1731,1741
60871222032,1646,1613,1698,1685,1599
60871223001,344,805,847,822,478
60871223002,1200,1102,643,628,606
60871223003,880,794,859,1484,1670
60871224001,1282,1385,1125,1023,1578
60871224002,1200,1376,1390,1494,1652
60871224003,1120,1506,1232,1356,1331
60871224004,,1553,493,,
60871224005,1201,1210,1347,1354,
60871224006,1160,1554,1635,,
60871225001,832,886,888,,1307
60871225002,1178,1295,1344,1397,1570
60871225003,1300,1343,1330,1348,1421
60871225004,1558,1667,1613,1625,1375
60871231001,1129,1075,1034,1250,972
60871231002,1582,1190,1188,1118,1042
60871233001,805,894,909,862,879
