id,ten,eleven,twelve,thirteen,fourteen
60871001001,117292,125163,97222,95625,99375
60871001002,110739,115192,121563,111094,101118
60871002001,66667,71500,71875,92557,72014
60871002002,102188,82444,90125,96538,85583
60871002003,77000,81333,67332,71761,72283
60871002004,65391,66942,78836,77943,80362
60871002005,40481,35995,36779,37321,39600
60871002006,21676,26094,21944,21736,33077
60871002007,83913,93625,95746,69583,31464
60871003001,67083,68250,80208,80556,48750
60871003002,113370,112000,140938,89821,91042
60871004001,102404,137868,102813,106375,109844
60871004002,,,,,
60871004003,26714,26766,27500,44286,27857
60871005001,83667,84464,103854,105833,108750
60871005002,83958,87943,87286,87609,93090
60871005003,78165,92826,78922,79545,62170
60871006001,77460,80078,78558,72961,80197
60871006002,77045,90357,105938,76833,83889
60871006003,75761,66042,72143,70476,70714
60871007001,50263,52000,51442,50982,63214
60871007002,29400,27857,26393,37599,50156
60871008001,45671,76278,77684,50089,47396
60871008002,49449,52176,61831,64779,66224
60871008003,41189,40304,26414,27106,27295
60871008004,52213,56607,53908,54289,54917
60871008005,80966,59549,74038,72596,56696
60871008006,50708,52621,52660,47685,48042
60871009001,99107,91719,56319,86458,65625
60871009002,51854,42012,41767,34243,40703
60871009003,42863,47358,57411,71701,76964
60871009004,81161,92606,81797,95361,83155
60871009005,77794,73438,76625,88661,101528
60871010001,26868,29118,26895,30553,30208
60871010002,36250,37849,39881,41860,49196
60871010003,17656,40216,19292,19085,23083
60871010004,12234,23676,21488,23527,24667
60871010005,81538,66731,98917,92422,68636
60871010006,45195,35061,28629,40532,35784
60871010007,29750,26731,29659,32361,38225
60871011001,84107,92667,71211,71696,69650
60871011002,52134,70667,52179,72946,54145
60871011003,71146,46607,75125,32083,78487
60871011004,73417,91429,90227,76250,70667
60871011005,85250,81458,64250,64167,59018
60871012001,54500,60278,64423,31964,33036
60871012002,100364,102934,106250,108669,104432
60871012003,70139,72902,69297,65774,71083
60871101001,31163,42750,34044,34850,34201
60871101002,42176,26888,26091,40083,24286
60871101003,44408,64875,63417,62917,67632
60871101004,38051,41853,44427,46336,63375
60871102001,46492,47692,60455,48906,48068
60871102002,44688,51573,52981,51563,58167
60871102003,65750,51176,44600,54539,60595
60871102004,33882,42188,56518,58571,51484
60871102005,78615,80068,72250,63646,85494
60871103001,42466,42750,44344,42563,38269
60871103002,20824,21745,21500,23547,23214
60871103003,42701,41402,43640,43333,43993
60871103004,27898,26369,22342,25417,42978
60871104001,36250,39653,38375,27317,33377
60871104002,37988,35658,37273,37125,37788
60871104003,34450,36068,45909,42143,45484
60871104004,80486,76379,89375,87875,89485
60871105011,30000,30417,26940,26796,28073
60871105012,27419,29704,27134,35337,31108
60871105013,63238,57111,65859,56713,57425
60871105014,39635,53726,56948,73333,64643
60871105021,55833,49438,44122,44545,55139
60871105022,49884,50764,46034,46250,53418
60871105023,88203,73629,74125,51534,60144
60871106001,59620,65000,63542,65931,58689
60871106002,86597,74438,59904,59180,57128
60871106003,58859,60431,77729,74125,32234
60871106004,28000,22353,23646,20787,23438
60871106005,47262,43835,41333,45580,44135
60871107001,77841,55833,67824,52750,45156
60871107002,45435,53462,56513,59962,60595
60871107003,34488,43468,44688,46174,45060
60871202001,98608,90956,89697,87933,79010
60871202002,83984,73056,76818,80357,84167
60871203011,98021,92917,82206,108324,84756
60871203012,83309,67235,73413,74271,71691
60871203013,89205,108021,90063,88214,88750
60871203021,95507,98061,101745,99271,71071
60871203022,85469,93839,95735,73682,73202
60871203023,64531,57625,57738,62321,57614
60871204001,58750,57273,85074,77421,93833
60871204002,104038,97316,105288,100525,91500
60871204003,78462,93047,77188,91728,92734
60871204004,55117,62167,59635,74250,78750
60871205001,150647,185417,186354,189500,156250
60871205002,120380,125375,127500,137188,136875
60871205003,78800,81700,64318,51597,50938
60871205004,78942,80648,83789,61995,39519
60871205005,86406,86016,88173,86417,83482
60871206001,74726,86786,91458,72102,71425
60871206002,76761,70326,71875,90571,81424
60871206003,89545,84375,72303,86538,92321
60871206004,120195,96382,95917,92679,80556
60871206005,78190,66607,68833,84091,85714
60871207001,60806,57951,59265,59000,48549
60871207002,80000,74931,83250,76650,83750
60871207003,102604,89129,86250,86193,67353
60871208001,58378,51207,54500,54856,50227
60871208002,118750,128807,135427,131979,136607
60871208003,112238,116000,116847,112708,139615
60871209001,107941,96094,113906,105078,110813
60871209002,80417,111071,113056,111089,117604
60871209003,119792,130250,133750,106700,101230
60871209004,95074,115134,112237,115049,88802
60871210001,107115,107785,101719,102171,137721
60871210002,102917,102000,103929,86010,118182
60871210003,113750,109318,111731,121136,116071
60871211001,109167,125875,118125,121250,108611
60871211002,66591,66458,68669,68438,58239
60871212001,77083,77768,66250,107543,126563
60871212002,170893,165714,131947,122697,127303
60871212003,128403,98281,109519,100972,100521
60871212004,54719,85222,76250,93125,129167
60871212005,108500,116346,142981,110625,82417
60871213001,64750,67222,62448,65208,64225
60871213002,86406,95764,81111,109125,104531
60871213003,61420,70205,71652,74430,74461
60871213004,33576,35710,36410,36887,39048
60871214011,51400,50852,52981,40208,55921
60871214012,65735,65000,56591,60750,58889
60871214021,46574,51488,52788,53269,53623
60871214022,49811,55986,55500,46298,54013
60871214023,63529,71583,62375,64046,96250
60871214031,42206,61087,60875,60948,60500
60871214032,55943,60313,61875,78846,107500
60871214033,50795,53765,56689,56615,78368
60871215001,49135,143958,145313,80982,107404
60871215002,55873,57632,59775,59627,84079
