id,ten,eleven,twelve,thirteen,fourteen
60871001001,732700,702900,677200,644100,666100
60871001002,732900,693100,679200,645700,640200
60871002001,732100,662400,668800,495100,497300
60871002002,811400,673800,629400,588600,662500
60871002003,647100,610600,606300,591500,595600
60871002004,811900,776800,645500,604400,569400
60871002005,633300,650800,635200,579200,487200
60871002006,593800,625000,574200,,446200
60871002007,688000,655800,665700,648400,
60871003001,956100,912200,805100,775200,741800
60871003002,800600,858000,792500,733400,828900
60871004001,302300,391700,291900,316700,366700
60871004002,,,,,
60871004003,9999,9999,9999,,
60871005001,862500,872500,756600,621000,619200
60871005002,557500,534100,569200,556500,546000
60871005003,898600,837700,807500,824200,853100
60871006001,850900,790700,756300,717900,711200
60871006002,662600,664100,622800,623600,642400
60871006003,685600,711300,699100,670100,699000
60871007001,405600,415600,232700,277900,273100
60871007002,914600,927600,1000001,884600,846200
60871008001,594600,596900,719800,612500,555600
60871008002,656600,644200,685200,666200,703100
60871008003,512500,508900,516700,529500,557000
60871008004,581500,542100,486700,423300,396900
60871008005,830700,769500,722800,698300,686000
60871008006,792200,656300,658500,584500,560000
60871009001,774600,705900,650900,685200,698800
60871009002,704700,670000,603300,638300,624200
60871009003,667200,661200,665500,730800,397000
60871009004,1000001,1000001,991700,808800,795800
60871009005,1000001,1000001,,,
60871010001,,,,,
60871010002,,789500,778800,,685000
60871010003,794600,689700,610400,604200,588900
60871010004,,,,,
60871010005,578900,600800,559500,601700,626300
60871010006,398000,409600,426500,455400,437100
60871010007,668300,591300,830400,710200,723500
60871011001,925000,892200,808800,674500,658800
60871011002,652400,617100,628900,644900,605800
60871011003,639800,594700,575300,484400,540100
60871011004,1000001,1000001,998000,952100,959300
60871011005,644700,573400,478300,493300,529900
60871012001,567900,506600,444700,484100,500000
60871012002,850900,797300,750000,730300,738600
60871012003,700000,665700,662000,623100,654900
60871101001,296700,288900,283200,276400,327100
60871101002,529900,379300,316900,298100,323100
60871101003,372600,349500,329800,318800,381700
60871101004,433000,391400,332500,316600,306600
60871102001,526400,446900,423700,402900,323100
60871102002,576400,477800,400000,369800,369400
60871102003,583300,497300,446000,371700,390300
60871102004,593500,550400,480000,336200,280000
60871102005,582800,486200,413400,411200,418800
60871103001,505800,284000,267300,242100,263200
60871103002,614000,520800,350000,371400,393800
60871103003,167400,,,,
60871103004,451900,438300,263600,240900,245000
60871104001,525000,487000,488600,1000001,
60871104002,79900,79800,203800,234100,412900
60871104003,325000,248600,220500,225000,261700
60871104004,562900,476600,412600,360800,382900
60871105011,171200,336000,327600,314400,318300
60871105012,394700,368800,297100,303300,286800
60871105013,237500,215800,253800,213200,267400
60871105014,412500,487500,363200,302800,244600
60871105021,232600,232100,221800,212900,117000
60871105022,508900,477300,296300,295200,343100
60871105023,426800,367600,349100,338300,336700
60871106001,316000,272200,282600,264100,267500
60871106002,472200,435000,357800,351900,401800
60871106003,461800,447100,291300,285000,354900
60871106004,293900,221400,223500,239200,224500
60871106005,238200,204200,257500,246200,120200
60871107001,475000,281600,304800,368000,375000
60871107002,450000,439100,394200,393100,383100
60871107003,548900,440900,416000,411900,381900
60871202001,703700,686000,661100,655500,648900
60871202002,745200,676000,631500,630600,639700
60871203011,525700,570600,550200,493800,488300
60871203012,587100,551200,547400,550000,515200
60871203013,602800,529200,494400,452200,455000
60871203021,581000,539100,498500,426300,371200
60871203022,657700,594500,603500,561500,540600
60871203023,438500,364500,523600,633500,594600
60871204001,464900,418800,413200,373200,386600
60871204002,563000,541300,561200,547300,526600
60871204003,610800,560700,546000,562000,597000
60871204004,463300,438000,405800,426700,435900
60871205001,958300,997800,935100,926000,938500
60871205002,905000,929500,900000,904900,925800
60871205003,524900,486400,420000,383300,371800
60871205004,442700,427900,421800,385300,376400
60871205005,701900,754700,646600,599100,594600
60871206001,351600,376300,332400,261500,237500
60871206002,608800,569100,570400,423800,353100
60871206003,490200,475000,479800,506500,559800
60871206004,629900,596600,557400,527700,483500
