id2,pop
060871001001,924
060871001002,1179
060871002001,700
060871002002,709
060871002003,1372
060871002004,664
060871002005,1531
060871002006,1436
060871002007,366
060871003001,1416
060871003002,1756
060871004001,2053
060871004002,1170
060871004003,5202
060871005001,1262
060871005002,2588
060871005003,2459
060871006001,1598
060871006002,1196
060871006003,757
060871007001,663
060871007002,1038
060871008001,1285
060871008002,1111
060871008003,986
060871008004,2656
060871008005,1061
060871008006,576
060871009001,890
060871009002,1525
060871009003,973
060871009004,405
060871009005,315
060871010001,2090
060871010002,620
060871010003,611
060871010004,433
060871010005,471
060871010006,2262
060871010007,1588
060871011001,905
060871011002,902
060871011003,883
060871011004,1628
060871011005,1390
060871012001,664
060871012002,1216
060871012003,1304
060871101001,1423
060871101002,1281
060871101003,1658
060871101004,3231
060871102001,1506
060871102002,2366
060871102003,1428
060871102004,1682
060871102005,1600
060871103001,1360
060871103002,1531
060871103003,1635
060871103004,2993
060871104001,2253
060871104002,1370
060871104003,1286
060871104004,3332
060871105011,2696
060871105012,1962
060871105013,1040
060871105014,1001
060871105021,1939
060871105022,2975
060871105023,1332
060871106001,2248
060871106002,991
060871106003,1042
060871106004,2338
060871106005,840
060871107001,1635
060871107002,851
060871107003,970
060871202001,2893
060871202002,1334
060871203011,2417
060871203012,1818
060871203013,1326
060871203021,638
060871203022,1277
060871203023,813
060871204001,1449
060871204002,933
060871204003,1829
060871204004,839
060871205001,725
060871205002,1468
060871205003,1354
060871205004,974
060871205005,886
060871206001,556
060871206002,959
060871206003,669
060871206004,1605
060871206005,843
060871207001,1030
060871207002,1311
060871207003,1672
060871208001,2121
060871208002,2347
060871208003,1290
060871209001,3140
060871209002,1040
060871209003,2560
060871209004,1693
060871210001,1622
060871210002,793
060871210003,928
060871211001,852
060871211002,2257
060871212001,776
060871212002,1575
060871212003,1856
060871212004,931
060871212005,1223
060871213001,1977
060871213002,415
060871213003,1238
060871213004,895
060871214011,860
060871214012,1716
060871214021,1800
060871214022,1892
060871214023,981
060871214031,1692
060871214032,1067
060871214033,758
060871215001,648
060871215002,1199
060871215003,1206
060871215004,730
060871215005,1429
060871216001,861
060871216002,1021
060871216003,1849
060871216004,1686
060871216005,951
060871217001,2821
060871217002,693
060871217003,552
060871217004,1688
060871217005,640
060871217006,821
060871218001,1421
060871218002,1664
060871218003,1284
060871218004,298
060871220011,1224
060871220012,542
060871220013,1115
060871220014,512
060871220015,1971
060871220021,2499
060871220022,1158
060871220031,1047
060871220032,1098
060871220033,2606
060871220034,970
060871220035,686
060871221001,863
060871221002,1112
060871221003,1398
060871222011,880
060871222012,720
060871222013,1189
060871222014,903
060871222015,923
060871222016,1519
060871222017,586
060871222021,2508
060871222031,2195
060871222032,1162
060871223001,842
060871223002,826
060871223003,2235
060871224001,3020
060871224002,940
060871224003,1224
060871224004,790
060871224005,550
060871224006,707
060871225001,1042
060871225002,1969
060871225003,1902
060871225004,1561
060871231001,1406
060871231002,1062
060871233001,1782
060879901000,0
