id,ten,eleven,twelve,thirteen,fourteen
60871001001,222,247,246,274,260
60871001002,475,406,356,371,378
60871002001,138,189,168,222,191
60871002002,276,226,180,206,188
60871002003,382,437,380,364,339
60871002004,224,244,218,176,161
60871002005,235,210,164,165,169
60871002006,77,60,45,30,36
60871002007,176,162,110,57,58
60871003001,356,346,349,368,316
60871003002,397,393,463,438,480
60871004001,151,137,122,109,132
60871004002,0,0,0,0,0
60871004003,30,32,27,32,11
60871005001,297,244,209,202,258
60871005002,554,604,501,534,480
60871005003,379,403,375,386,376
60871006001,317,302,403,322,327
60871006002,250,298,262,270,266
60871006003,166,152,163,217,216
60871007001,151,165,139,153,163
60871007002,72,80,62,64,70
60871008001,120,206,203,186,148
60871008002,114,105,218,159,97
60871008003,74,27,28,97,116
60871008004,222,153,112,93,90
60871008005,260,225,283,207,217
60871008006,123,133,127,77,100
60871009001,284,256,291,357,367
60871009002,189,183,236,240,233
60871009003,99,98,73,76,64
60871009004,162,169,131,78,126
60871009005,23,26,24,25,16
60871010001,0,0,0,33,49
60871010002,33,32,23,25,37
60871010003,99,148,111,100,89
60871010004,0,19,20,18,14
60871010005,78,106,142,153,146
60871010006,137,166,196,206,226
60871010007,59,41,35,37,59
60871011001,391,368,252,192,169
60871011002,207,172,156,136,88
60871011003,192,170,189,150,210
60871011004,375,398,351,320,249
60871011005,240,240,212,240,253
60871012001,210,133,127,117,116
60871012002,214,231,244,229,294
60871012003,398,422,439,380,365
60871101001,110,130,135,120,114
60871101002,125,128,142,150,158
60871101003,301,323,326,280,309
60871101004,750,745,789,875,827
60871102001,221,185,215,166,158
60871102002,277,270,230,213,281
60871102003,156,124,119,99,122
60871102004,229,258,212,165,170
60871102005,372,390,305,285,336
60871103001,84,85,91,50,61
60871103002,37,33,19,40,39
60871103003,32,22,19,19,13
60871103004,108,151,114,106,93
60871104001,90,71,57,41,34
60871104002,67,61,69,56,54
60871104003,135,117,110,103,87
60871104004,547,616,628,583,688
60871105011,221,215,124,129,167
60871105012,88,81,111,127,120
60871105013,395,346,320,228,225
60871105014,184,277,198,189,206
60871105021,429,444,359,373,280
60871105022,229,134,111,128,176
60871105023,277,215,193,136,159
60871106001,402,388,409,379,338
60871106002,264,227,243,232,216
60871106003,148,136,224,179,179
60871106004,153,247,209,254,171
60871106005,203,174,143,138,134
60871107001,230,202,174,140,167
60871107002,187,186,201,205,163
60871107003,170,132,153,137,145
60871202001,726,804,794,824,765
60871202002,364,385,390,432,457
60871203011,558,524,534,651,765
60871203012,559,561,553,616,518
60871203013,509,543,530,459,442
60871203021,172,183,177,169,162
60871203022,267,255,271,269,255
60871203023,244,189,149,217,215
60871204001,398,378,430,489,487
60871204002,325,341,325,323,328
60871204003,585,518,528,541,572
60871204004,183,216,274,276,266
60871205001,328,318,261,247,255
60871205002,538,579,592,590,565
60871205003,492,451,458,438,476
60871205004,476,420,438,512,484
60871205005,334,231,205,232,289
60871206001,209,188,185,253,253
60871206002,315,309,305,299,295
60871206003,264,228,243,242,194
60871206004,415,438,460,473,569
60871206005,270,290,290,286,256
60871207001,244,224,228,239,209
60871207002,452,448,422,418,411
60871207003,627,619,601,611,594
60871208001,728,811,828,835,809
60871208002,692,626,581,640,714
60871208003,502,485,499,465,514
60871209001,638,614,652,638,710
60871209002,364,229,203,158,131
60871209003,752,814,783,730,673
60871209004,486,546,547,589,588
60871210001,491,409,413,429,433
60871210002,274,287,253,283,275
60871210003,290,331,326,332,322
60871211001,218,237,243,250,277
60871211002,774,793,791,799,680
60871212001,206,196,192,212,218
60871212002,416,444,482,380,436
60871212003,653,535,550,606,547
60871212004,335,357,290,300,273
60871212005,235,244,198,164,201
60871213001,423,411,409,465,527
60871213002,215,216,188,208,178
60871213003,253,296,329,284,270
60871213004,59,53,52,65,55
60871214011,242,277,280,237,214
60871214012,372,337,311,328,362
60871214021,245,314,319,304,294
60871214022,501,482,476,423,432
60871214023,109,115,162,195,179
60871214031,355,408,442,464,396
60871214032,195,257,317,308,328
60871214033,106,109,90,117,136
60871215001,133,224,172,231,208
60871215002,240,252,312,255,292
60871215003,309,229,261,192,234
60871215004,86,98,118,118,97
60871215005,38,27,45,39,25
60871216001,186,171,179,163,131
60871216002,189,195,217,266,281
60871216003,453,476,522,387,394
60871216004,411,446,408,490,544
60871216005,181,150,157,139,112
60871217001,446,441,413,454,537
60871217002,130,139,113,137,137
60871217003,107,96,123,123,122
60871217004,578,539,474,436,447
60871217005,191,186,122,164,119
60871217006,229,227,179,255,231
60871218001,256,266,254,269,293
60871218002,325,281,245,339,342
60871218003,153,207,177,249,229
60871218004,83,95,111,86,70
60871220011,340,339,329,351,368
60871220012,198,200,156,131,167
60871220013,145,170,175,148,129
60871220014,145,127,130,157,187
60871220015,465,452,475,487,509
60871220021,634,671,676,712,739
60871220022,499,419,456,389,383
60871220031,582,505,438,378,374
60871220032,275,285,335,330,285
60871220033,821,836,815,846,750
60871220034,107,145,183,165,163
60871220035,188,184,184,150,136
60871221001,201,206,216,247,203
60871221002,318,320,294,320,361
60871221003,226,260,294,237,272
60871222011,357,307,299,331,286
60871222012,360,369,391,338,267
