id,ten,eleven,twelve,thirteen,fourteen
60871001001,58,62,52,42,27
60871001002,53,66,78,48,55
60871002001,66,79,108,82,71
60871002002,66,110,63,74,112
60871002003,166,151,221,187,191
60871002004,127,65,136,119,98
60871002005,340,369,400,400,387
60871002006,344,310,301,309,366
60871002007,108,95,128,217,197
60871003001,246,243,175,174,230
60871003002,229,241,229,236,202
60871004001,6,0,5,10,13
60871004002,0,0,0,0,0
60871004003,253,290,295,256,221
60871005001,127,159,256,234,218
60871005002,278,269,327,262,337
60871005003,390,335,404,454,506
60871006001,278,271,269,270,242
60871006002,54,92,105,136,160
60871006003,158,130,63,55,70
60871007001,209,221,217,180,167
60871007002,478,488,537,495,479
60871008001,376,295,310,403,397
60871008002,276,335,265,237,284
60871008003,372,500,499,458,417
60871008004,740,731,650,700,655
60871008005,289,214,213,208,242
60871008006,136,158,138,105,129
60871009001,79,61,70,48,61
60871009002,658,667,653,686,588
60871009003,128,180,178,229,202
60871009004,203,127,131,75,71
60871009005,195,189,153,128,198
60871010001,862,896,948,746,734
60871010002,264,254,255,220,196
60871010003,191,151,159,193,174
60871010004,240,289,177,175,174
60871010005,156,152,67,70,64
60871010006,612,588,712,887,902
60871010007,550,489,560,518,530
60871011001,221,166,256,173,165
60871011002,183,152,197,271,307
60871011003,58,118,110,144,103
60871011004,374,440,381,342,311
60871011005,121,77,99,146,164
60871012001,264,261,213,187,159
60871012002,136,168,130,96,101
60871012003,101,59,86,149,153
60871101001,286,233,216,191,302
60871101002,170,259,262,227,174
60871101003,308,244,221,207,239
60871101004,388,358,332,350,414
60871102001,194,203,301,287,245
60871102002,260,293,221,236,265
60871102003,208,216,185,249,194
60871102004,156,133,209,247,213
60871102005,120,106,154,234,213
60871103001,285,285,308,279,271
60871103002,385,364,311,366,371
60871103003,373,375,442,473,484
60871103004,452,448,444,459,478
60871104001,446,460,430,519,450
60871104002,261,263,239,273,256
60871104003,184,178,200,191,257
60871104004,194,172,177,203,195
60871105011,473,460,531,587,665
60871105012,224,324,431,482,451
60871105013,121,100,120,81,132
60871105014,276,173,149,125,80
60871105021,71,85,189,211,203
60871105022,463,524,529,507,505
60871105023,32,73,89,105,163
60871106001,105,160,146,214,273
60871106002,23,26,62,45,37
60871106003,121,116,79,85,95
60871106004,521,513,514,441,591
60871106005,281,287,247,161,131
60871107001,65,152,177,248,238
60871107002,83,78,92,76,113
60871107003,87,74,53,76,74
60871202001,349,265,306,293,334
60871202002,93,85,82,60,49
60871203011,147,175,198,204,199
60871203012,216,272,209,151,199
60871203013,80,28,49,71,90
