id,ten,eleven,twelve,thirteen,fourteen
60871001001,280,309,298,316,287
60871001002,528,472,434,419,433
60871002001,204,268,276,304,262
60871002002,342,336,243,280,300
60871002003,548,588,601,551,530
60871002004,351,309,354,295,259
60871002005,575,579,564,565,556
60871002006,421,370,346,339,402
60871002007,284,257,238,274,255
60871003001,602,589,524,542,546
60871003002,626,634,692,674,682
60871004001,157,137,127,119,145
60871004002,0,0,0,0,0
60871004003,283,322,322,288,232
60871005001,424,403,465,436,476
60871005002,832,873,828,796,817
60871005003,769,738,779,840,882
60871006001,595,573,672,592,569
60871006002,304,390,367,406,426
60871006003,324,282,226,272,286
60871007001,360,386,356,333,330
60871007002,550,568,599,559,549
60871008001,496,501,513,589,545
60871008002,390,440,483,396,381
60871008003,446,527,527,555,533
60871008004,962,884,762,793,745
60871008005,549,439,496,415,459
60871008006,259,291,265,182,229
60871009001,363,317,361,405,428
60871009002,847,850,889,926,821
60871009003,227,278,251,305,266
60871009004,365,296,262,153,197
60871009005,218,215,177,153,214
60871010001,862,896,948,779,783
60871010002,297,286,278,245,233
60871010003,290,299,270,293,263
60871010004,240,308,197,193,188
60871010005,234,258,209,223,210
60871010006,749,754,908,1093,1128
60871010007,609,530,595,555,589
60871011001,612,534,508,365,334
60871011002,390,324,353,407,395
60871011003,250,288,299,294,313
60871011004,749,838,732,662,560
60871011005,361,317,311,386,417
60871012001,474,394,340,304,275
60871012002,350,399,374,325,395
60871012003,499,481,525,529,518
60871101001,396,363,351,311,416
60871101002,295,387,404,377,332
60871101003,609,567,547,487,548
60871101004,1138,1103,1121,1225,1241
60871102001,415,388,516,453,403
60871102002,537,563,451,449,546
60871102003,364,340,304,348,316
60871102004,385,391,421,412,383
60871102005,492,496,459,519,549
60871103001,369,370,399,329,332
60871103002,422,397,330,406,410
60871103003,405,397,461,492,497
60871103004,560,599,558,565,571
60871104001,536,531,487,560,484
60871104002,328,324,308,329,310
60871104003,319,295,310,294,344
60871104004,741,788,805,786,883
60871105011,694,675,655,716,832
60871105012,312,405,542,609,571
60871105013,516,446,440,309,357
60871105014,460,450,347,314,286
60871105021,500,529,548,584,483
60871105022,692,658,640,635,681
60871105023,309,288,282,241,322
60871106001,507,548,555,593,611
60871106002,287,253,305,277,253
60871106003,269,252,303,264,274
60871106004,674,760,723,695,762
60871106005,484,461,390,299,265
60871107001,295,354,351,388,405
60871107002,270,264,293,281,276
60871107003,257,206,206,213,219
60871202001,1075,1069,1100,1117,1099
60871202002,457,470,472,492,506
60871203011,705,699,732,855,964
60871203012,775,833,762,767,717
60871203013,589,571,579,530,532
60871203021,257,264,219,227,228
60871203022,475,474,538,527,508
60871203023,283,269,276,289,309
60871204001,652,624,587,634,612
60871204002,354,399,421,395,388
60871204003,832,813,804,807,877
60871204004,355,312,341,361,366
60871205001,377,371,321,294,309
60871205002,609,659,670,650,583
60871205003,716,696,658,647,701
60871205004,546,492,501,561,484
60871205005,379,305,309,345,397
60871206001,261,230,223,290,273
60871206002,377,368,379,360,375
60871206003,330,321,362,336,267
60871206004,465,485,501,513,624
60871206005,412,454,416,358,324
60871207001,402,393,418,432,385
60871207002,610,619,533,491,542
60871207003,681,725,746,749,736
60871208001,995,1046,1062,1043,986
60871208002,764,747,708,748,841
60871208003,647,618,635,563,536
60871209001,1036,1016,1013,961,1046
60871209002,448,384,478,431,415
60871209003,960,1022,1002,982,981
60871209004,595,637,634,652,669
60871210001,586,549,604,551,557
60871210002,323,306,282,367,376
60871210003,369,384,372,392,380
60871211001,258,273,283,282,310
60871211002,856,872,883,903,837
60871212001,281,285,262,261,257
60871212002,486,498,567,436,492
60871212003,939,822,792,809,733
60871212004,475,510,422,411,378
60871212005,280,300,245,299,399
60871213001,702,734,719,811,903
60871213002,281,235,216,229,195
60871213003,425,463,455,396,410
60871213004,201,171,219,236,228
60871214011,350,391,377,343,360
60871214012,556,528,526,579,578
60871214021,536,525,541,590,625
60871214022,726,767,788,737,717
60871214023,240,235,261,255,259
60871214031,722,694,661,728,698
60871214032,339,361,408,362,382
60871214033,245,288,283,274,273
60871215001,273,305,228,273,275
60871215002,413,398,447,495,514
60871215003,929,766,729,734,680
60871215004,406,384,387,430,423
60871215005,228,291,333,388,462
60871216001,333,357,319,322,375
60871216002,278,285,405,446,463
60871216003,915,860,911,775,818
60871216004,571,617,534,706,748
60871216005,502,425,427,470,427
60871217001,902,985,947,954,1040
60871217002,186,207,186,216,202
60871217003,240,225,258,182,199
60871217004,1083,1023,998,907,877
60871217005,272,272,208,265,245
60871217006,278,303,223,307,288
60871218001,501,540,561,605,592
60871218002,789,787,701,802,834
60871218003,768,772,665,588,610
60871218004,216,172,155,132,148
60871220011,567,548,529,534,507
60871220012,231,200,156,131,167
60871220013,219,284,284,326,317
60871220014,254,241,223,255,244
60871220015,575,567,620,622,613
60871220021,746,818,791,819,827
60871220022,588,513,577,489,484
60871220031,712,615,531,481,462
60871220032,441,443,496,455,459
60871220033,1007,1034,1108,1051,1028
60871220034,327,395,352,347,365
60871220035,229,237,284,351,310
60871221001,384,368,379,417,381
60871221002,453,501,460,479,486
60871221003,545,604,581,556,624
60871222011,470,411,377,378,317
60871222012,417,452,503,462,442
60871222013,427,426,439,514,492
60871222014,261,243,244,281,286
60871222015,326,351,416,374,326
60871222016,454,571,601,581,629
60871222017,245,254,205,226,233
60871222021,839,860,855,881,946
60871222031,958,909,845,857,1004
60871222032,558,565,621,644,544
60871223001,354,334,348,356,300
60871223002,310,316,294,261,299
60871223003,768,791,794,844,863
60871224001,727,637,705,716,830
60871224002,350,338,349,328,360
60871224003,496,471,412,414,451
60871224004,334,429,433,496,364
60871224005,213,224,260,247,232
60871224006,402,469,350,373,300
60871225001,274,259,251,303,310
60871225002,378,411,440,478,475
60871225003,563,534,537,486,433
60871225004,244,264,295,318,332
60871231001,393,408,424,436,461
60871231002,389,391,378,363,319
60871233001,412,423,419,434,445
