GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,TRUSTA,RES_ONLYA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,RP7E001
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,New England City and Town Area Division Code,Urban Area Code,"Congressional District (2007-2013, 110th-112th Congress) Code",State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Public Use Microdata Sample Area (PUMA) Code,Area Name,Total
"G06000104001001","2005-2009",,,"California","06","Alameda County","001",,,"400100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4001, Alameda County, California",1439
"G06000104002001","2005-2009",,,"California","06","Alameda County","001",,,"400200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4002, Alameda County, California",492
"G06000104002002","2005-2009",,,"California","06","Alameda County","001",,,"400200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4002, Alameda County, California",440
"G06000104003001","2005-2009",,,"California","06","Alameda County","001",,,"400300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4003, Alameda County, California",498
"G06000104003002","2005-2009",,,"California","06","Alameda County","001",,,"400300","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4003, Alameda County, California",688
"G06000104003003","2005-2009",,,"California","06","Alameda County","001",,,"400300","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4003, Alameda County, California",696
"G06000104003004","2005-2009",,,"California","06","Alameda County","001",,,"400300","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4003, Alameda County, California",919
"G06000104004001","2005-2009",,,"California","06","Alameda County","001",,,"400400","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4004, Alameda County, California",491
"G06000104004002","2005-2009",,,"California","06","Alameda County","001",,,"400400","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4004, Alameda County, California",807
"G06000104004003","2005-2009",,,"California","06","Alameda County","001",,,"400400","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4004, Alameda County, California",407
