id,Total,White,Black,Indian_Alaska,Asian,Hawaiian_Pacific,Some_Other,Two_or_More,Hispanic_Latino
60871001001,117292,121771,,,,,,,
60871001002,110739,111222,,,,,,2499,75288
60871002001,66667,66500,,,80208,,,,
60871002002,102188,120625,,,,,,100568,
60871002003,77000,77250,,,32321,,,,
60871002004,65391,65581,,,,,,,4167
60871002005,40481,41058,,,,,,9375,45426
60871002006,21676,22813,,,,,,,21538
60871002007,83913,83913,,,,,,,
60871003001,67083,63125,,,250001,,,,
60871003002,113370,124625,,,,,,,150227
60871004001,102404,85000,,,167692,,,,
60871004002,,,,,,,,,
60871004003,26714,29107,,,26325,,,,18214
60871005001,83667,82750,,,,,100156,,51429
60871005002,83958,82297,,,78836,,118182,,63179
60871005003,78165,78590,,,89375,,,2499,53227
60871006001,77460,96595,,,,,,21483,95474
60871006002,77045,76477,,,139844,,,11875,47083
60871006003,75761,74704,,,,,,,
60871007001,50263,49167,,,,,50227,56750,52045
60871007002,29400,29250,,,,,,,36648
60871008001,45671,45488,72813,,,,,,63750
60871008002,49449,56250,,,,,,,98071
60871008003,41189,41328,,,,,,,17337
60871008004,52213,51976,,,83675,,,,68839
60871008005,80966,81250,,,,,,,27000
60871008006,50708,42381,,,,,,,42351
60871009001,99107,102625,,,,,,,71607
60871009002,51854,52146,,,,,,9219,44750
60871009003,42863,38472,,,,,,,
60871009004,81161,81161,,,,,,,76781
60871009005,77794,77794,,,,,,,
60871010001,26868,29904,2499,,21600,,52778,2499,42227
60871010002,36250,36656,,,,,,,36201
60871010003,17656,53393,,,,,,12159,
60871010004,12234,11953,,,,,,,113750
60871010005,81538,81538,,,,,,,
60871010006,45195,46055,,,52981,,35089,,22833
60871010007,29750,32813,,,2499,,27500,67917,36114
60871011001,84107,85500,,,,,,,71012
60871011002,52134,62589,,,,,,,19904
60871011003,71146,71146,,,,,,,
60871011004,73417,86250,250001,,,,,2499,52500
60871011005,85250,85444,,,,,,,91538
60871012001,54500,71250,12113,,60865,,84500,,120357
60871012002,100364,100364,,,,,,,
60871012003,70139,66250,,,,,,85767,177875
60871101001,31163,17800,,,70809,,65026,,31860
60871101002,42176,58424,,,12589,,25909,,41991
60871101003,44408,44276,,,,,60114,50114,54625
60871101004,38051,37400,,84750,66875,,29375,,33523
60871102001,46492,44392,,,88906,,80893,,43851
60871102002,44688,50048,,,,,39618,,42882
60871102003,65750,67344,,,,,11520,,42393
60871102004,33882,32763,,,84167,,21685,,20672
60871102005,78615,78827,,,96250,,108125,,108125
60871103001,42466,41993,,,,,9750,,45511
60871103002,20824,20170,,,,,21222,,20966
60871103003,42701,42778,,,,,34432,,34167
60871103004,27898,28646,,,,,23056,,28153
60871104001,36250,46705,,,,,22708,,36944
60871104002,37988,39414,,,,,31645,,39848
60871104003,34450,32411,,,,,58839,,33917
60871104004,80486,59891,,,112500,,93958,2499,55721
60871105011,30000,39563,,,,,21639,,25285
60871105012,27419,26694,,,15469,,58875,,36667
60871105013,63238,70114,,,52344,,49886,,58194
60871105014,39635,39059,,,,,53510,,39760
