id,contract_rent
60871001001,1189
60871001002,1940
60871002001,
60871002002,1656
60871002003,1454
60871002004,1572
60871002005,1366
60871002006,1223
60871002007,2001
60871003001,1222
60871003002,1185
60871004001,
60871004002,
60871004003,1361
60871005001,2001
60871005002,1746
60871005003,2001
60871006001,1184
60871006002,1554
60871006003,1750
60871007001,1266
60871007002,864
60871008001,1238
60871008002,1405
60871008003,1189
60871008004,1146
60871008005,1180
60871008006,1324
60871009001,1819
60871009002,1045
60871009003,1346
60871009004,1717
60871009005,1365
60871010001,1009
60871010002,1152
60871010003,1125
60871010004,922
60871010005,2001
60871010006,1556
60871010007,1044
60871011001,1523
60871011002,728
60871011003,1242
60871011004,1669
60871011005,2001
60871012001,1549
60871012002,2001
60871012003,2001
60871101001,977
60871101002,792
60871101003,959
60871101004,1191
60871102001,749
60871102002,878
60871102003,875
60871102004,856
60871102005,1232
60871103001,1039
60871103002,842
60871103003,1067
60871103004,742
60871104001,975
60871104002,921
60871104003,1196
60871104004,1304
60871105011,946
60871105012,929
60871105013,1397
60871105014,1364
60871105021,1068
60871105022,1159
60871105023,1656
60871106001,832
60871106002,
60871106003,1558
60871106004,620
60871106005,782
60871107001,1396
60871107002,1337
60871107003,545
60871202001,1250
60871202002,1125
60871203011,924
60871203012,1104
60871203013,1938
60871203021,805
60871203022,1309
60871203023,1196
60871204001,1572
60871204002,1447
60871204003,1223
60871204004,1164
60871205001,2001
60871205002,1625
60871205003,1104
60871205004,349
60871205005,935
60871206001,1458
60871206002,938
60871206003,1451
60871206004,647
60871206005,1290
60871207001,672
60871207002,955
60871207003,1405
60871208001,2001
60871208002,1562
60871208003,1108
60871209001,1451
60871209002,906
60871209003,1186
60871209004,
60871210001,1442
60871210002,986
60871210003,1256
60871211001,1096
60871211002,1446
60871212001,2001
60871212002,1750
60871212003,1304
60871212004,1175
60871212005,1917
60871213001,1166
60871213002,2001
60871213003,1701
60871213004,1399
60871214011,868
60871214012,1319
60871214021,1282
60871214022,1399
60871214023,645
60871214031,994
60871214032,1349
60871214033,1193
60871215001,1461
60871215002,1462
60871215003,1540
60871215004,1334
60871215005,1177
60871216001,1102
60871216002,1591
60871216003,1514
60871216004,1772
60871216005,1035
60871217001,1318
60871217002,440
60871217003,1651
60871217004,1388
60871217005,1206
60871217006,1008
60871218001,1680
60871218002,1400
60871218003,1173
60871218004,1176
60871220011,1198
60871220012,
60871220013,1667
60871220014,1261
60871220015,1438
60871220021,1325
60871220022,2001
60871220031,680
60871220032,1446
60871220033,1423
60871220034,1426
60871220035,1316
60871221001,1065
60871221002,1629
60871221003,1054
60871222011,2001
60871222012,2001
60871222013,1885
60871222014,1099
60871222015,1402
60871222016,1085
60871222017,1407
60871222021,2001
60871222031,1690
60871222032,1613
60871223001,805
60871223002,1102
60871223003,794
60871224001,1385
60871224002,1376
60871224003,1506
60871224004,1553
60871224005,1210
60871224006,1554
60871225001,886
60871225002,1295
60871225003,1343
60871225004,1667
60871231001,1075
60871231002,1190
60871233001,894
