id,value
60871001001,702900
60871001002,693100
60871002001,662400
60871002002,673800
60871002003,610600
60871002004,776800
60871002005,650800
60871002006,625000
60871002007,655800
60871003001,912200
60871003002,858000
60871004001,391700
60871004002,
60871004003,9999
60871005001,872500
60871005002,534100
60871005003,837700
60871006001,790700
60871006002,664100
60871006003,711300
60871007001,415600
60871007002,927600
60871008001,596900
60871008002,644200
60871008003,508900
60871008004,542100
60871008005,769500
60871008006,656300
60871009001,705900
60871009002,670000
60871009003,661200
60871009004,1000001
60871009005,1000001
60871010001,
60871010002,789500
60871010003,689700
60871010004,
60871010005,600800
60871010006,409600
60871010007,591300
60871011001,892200
60871011002,617100
60871011003,594700
60871011004,1000001
60871011005,573400
60871012001,506600
60871012002,797300
60871012003,665700
60871101001,288900
60871101002,379300
60871101003,349500
60871101004,391400
60871102001,446900
60871102002,477800
60871102003,497300
60871102004,550400
60871102005,486200
60871103001,284000
60871103002,520800
60871103003,
60871103004,438300
60871104001,487000
60871104002,79800
60871104003,248600
60871104004,476600
60871105011,336000
60871105012,368800
60871105013,215800
60871105014,487500
60871105021,232100
60871105022,477300
60871105023,367600
60871106001,272200
60871106002,435000
60871106003,447100
60871106004,221400
60871106005,204200
60871107001,281600
60871107002,439100
60871107003,440900
60871202001,686000
60871202002,676000
60871203011,570600
60871203012,551200
60871203013,529200
60871203021,539100
60871203022,594500
60871203023,364500
60871204001,418800
60871204002,541300
60871204003,560700
60871204004,438000
60871205001,997800
60871205002,929500
60871205003,486400
60871205004,427900
60871205005,754700
60871206001,376300
60871206002,569100
60871206003,475000
60871206004,596600
60871206005,693900
60871207001,586300
60871207002,576900
60871207003,552000
60871208001,458300
60871208002,852800
60871208003,924000
60871209001,821300
60871209002,613500
60871209003,675200
60871209004,487200
60871210001,875000
60871210002,863000
60871210003,808200
60871211001,974700
60871211002,462500
60871212001,956300
60871212002,817800
60871212003,711500
60871212004,1000001
60871212005,963900
60871213001,679600
60871213002,644100
60871213003,622300
60871213004,382100
60871214011,369300
60871214012,642800
60871214021,609200
60871214022,410500
60871214023,558300
60871214031,445500
60871214032,488000
60871214033,519000
60871215001,486000
60871215002,529300
60871215003,408500
60871215004,743200
60871215005,508900
60871216001,249500
60871216002,1000001
60871216003,525500
60871216004,674800
60871216005,155400
60871217001,428700
60871217002,613100
60871217003,559200
60871217004,339300
60871217005,613400
60871217006,422200
60871218001,710400
60871218002,446100
60871218003,637300
60871218004,929700
60871220011,981300
60871220012,768200
60871220013,965200
60871220014,271900
60871220015,817800
60871220021,850400
60871220022,765300
60871220031,808600
60871220032,412800
60871220033,438200
60871220034,738000
60871220035,198300
60871221001,691200
60871221002,633800
60871221003,422400
60871222011,703000
60871222012,900800
60871222013,723000
60871222014,873100
60871222015,579900
60871222016,665000
60871222017,680600
60871222021,757900
60871222031,839600
60871222032,776000
60871223001,1000000
60871223002,871000
60871223003,844100
60871224001,703900
60871224002,870000
60871224003,858200
60871224004,729600
60871224005,752200
60871224006,446400
60871225001,359200
60871225002,342100
60871225003,432300
60871225004,425000
60871231001,462500
60871231002,443400
60871233001,799100
