id,total,owner,renter
60871001001,309,247,62
60871001002,472,406,66
60871002001,268,189,79
60871002002,336,226,110
60871002003,588,437,151
60871002004,309,244,65
60871002005,579,210,369
60871002006,370,60,310
60871002007,257,162,95
60871003001,589,346,243
60871003002,634,393,241
60871004001,137,137,0
60871004002,0,0,0
60871004003,322,32,290
60871005001,403,244,159
60871005002,873,604,269
60871005003,738,403,335
60871006001,573,302,271
60871006002,390,298,92
60871006003,282,152,130
60871007001,386,165,221
60871007002,568,80,488
60871008001,501,206,295
60871008002,440,105,335
60871008003,527,27,500
60871008004,884,153,731
60871008005,439,225,214
60871008006,291,133,158
60871009001,317,256,61
60871009002,850,183,667
60871009003,278,98,180
60871009004,296,169,127
60871009005,215,26,189
60871010001,896,0,896
60871010002,286,32,254
60871010003,299,148,151
60871010004,308,19,289
60871010005,258,106,152
60871010006,754,166,588
60871010007,530,41,489
60871011001,534,368,166
60871011002,324,172,152
60871011003,288,170,118
60871011004,838,398,440
60871011005,317,240,77
60871012001,394,133,261
60871012002,399,231,168
60871012003,481,422,59
60871101001,363,130,233
60871101002,387,128,259
60871101003,567,323,244
60871101004,1103,745,358
60871102001,388,185,203
60871102002,563,270,293
60871102003,340,124,216
60871102004,391,258,133
60871102005,496,390,106
60871103001,370,85,285
60871103002,397,33,364
60871103003,397,22,375
60871103004,599,151,448
60871104001,531,71,460
60871104002,324,61,263
60871104003,295,117,178
60871104004,788,616,172
60871105011,675,215,460
60871105012,405,81,324
60871105013,446,346,100
60871105014,450,277,173
60871105021,529,444,85
60871105022,658,134,524
60871105023,288,215,73
60871106001,548,388,160
60871106002,253,227,26
60871106003,252,136,116
60871106004,760,247,513
60871106005,461,174,287
60871107001,354,202,152
60871107002,264,186,78
60871107003,206,132,74
60871202001,1069,804,265
60871202002,470,385,85
60871203011,699,524,175
60871203012,833,561,272
60871203013,571,543,28
60871203021,264,183,81
60871203022,474,255,219
60871203023,269,189,80
60871204001,624,378,246
60871204002,399,341,58
60871204003,813,518,295
60871204004,312,216,96
60871205001,371,318,53
60871205002,659,579,80
60871205003,696,451,245
60871205004,492,420,72
60871205005,305,231,74
60871206001,230,188,42
60871206002,368,309,59
60871206003,321,228,93
60871206004,485,438,47
60871206005,454,290,164
60871207001,393,224,169
60871207002,619,448,171
60871207003,725,619,106
60871208001,1046,811,235
60871208002,747,626,121
60871208003,618,485,133
60871209001,1016,614,402
60871209002,384,229,155
60871209003,1022,814,208
60871209004,637,546,91
60871210001,549,409,140
60871210002,306,287,19
60871210003,384,331,53
60871211001,273,237,36
60871211002,872,793,79
60871212001,285,196,89
60871212002,498,444,54
60871212003,822,535,287
60871212004,510,357,153
60871212005,300,244,56
60871213001,734,411,323
60871213002,235,216,19
60871213003,463,296,167
60871213004,171,53,118
60871214011,391,277,114
60871214012,528,337,191
60871214021,525,314,211
60871214022,767,482,285
60871214023,235,115,120
60871214031,694,408,286
60871214032,361,257,104
60871214033,288,109,179
60871215001,305,224,81
60871215002,398,252,146
60871215003,766,229,537
60871215004,384,98,286
60871215005,291,27,264
60871216001,357,171,186
60871216002,285,195,90
60871216003,860,476,384
60871216004,617,446,171
60871216005,425,150,275
60871217001,985,441,544
60871217002,207,139,68
60871217003,225,96,129
60871217004,1023,539,484
60871217005,272,186,86
60871217006,303,227,76
60871218001,540,266,274
60871218002,787,281,506
60871218003,772,207,565
60871218004,172,95,77
60871220011,548,339,209
60871220012,200,200,0
60871220013,284,170,114
60871220014,241,127,114
60871220015,567,452,115
60871220021,818,671,147
60871220022,513,419,94
60871220031,615,505,110
60871220032,443,285,158
60871220033,1034,836,198
60871220034,395,145,250
60871220035,237,184,53
60871221001,368,206,162
60871221002,501,320,181
60871221003,604,260,344
60871222011,411,307,104
60871222012,452,369,83
60871222013,426,389,37
60871222014,243,178,65
60871222015,351,166,185
60871222016,571,409,162
60871222017,254,62,192
60871222021,860,744,116
60871222031,909,702,207
60871222032,565,276,289
60871223001,334,174,160
60871223002,316,191,125
60871223003,791,568,223
60871224001,637,484,153
60871224002,338,116,222
60871224003,471,372,99
60871224004,429,395,34
60871224005,224,187,37
60871224006,469,444,25
60871225001,259,247,12
60871225002,411,255,156
60871225003,534,378,156
60871225004,264,168,96
60871231001,408,278,130
60871231002,391,307,84
60871233001,423,122,301
