GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - Same house 1 year ago
HD02_VD02,Margin of Error; Total: - Same house 1 year ago
HD01_VD03,Estimate; Total: - Different house in United States 1 year ago:
HD02_VD03,Margin of Error; Total: - Different house in United States 1 year ago:
HD01_VD04,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area:
HD02_VD04,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area:
HD01_VD05,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from principal city
HD02_VD05,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from principal city
HD01_VD06,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area
HD02_VD06,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area
HD01_VD07,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area:
HD02_VD07,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area:
HD01_VD08,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from principal city
HD02_VD08,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from principal city
HD01_VD09,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area
HD02_VD09,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area
HD01_VD10,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area:
HD02_VD10,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area:
HD01_VD11,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from principal city
HD02_VD11,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from principal city
HD01_VD12,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from remainder of Micropolitan Statistical Area
HD02_VD12,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from remainder of Micropolitan Statistical Area
HD01_VD13,Estimate; Total: - Different house in United States 1 year ago: - Not in a Metropolitan or Micropolitan Statistical Area 1 year ago
HD02_VD13,Margin of Error; Total: - Different house in United States 1 year ago: - Not in a Metropolitan or Micropolitan Statistical Area 1 year ago
HD01_VD14,Estimate; Total: - Abroad 1 year ago
HD02_VD14,Margin of Error; Total: - Abroad 1 year ago
