GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Same house 1 year ago,Margin of Error; Total: - Same house 1 year ago,Estimate; Total: - Different house in United States 1 year ago:,Margin of Error; Total: - Different house in United States 1 year ago:,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area:,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area:,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from principal city,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from principal city,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area:,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area:,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from principal city,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from principal city,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area:,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area:,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from principal city,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from principal city,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from remainder of Micropolitan Statistical Area,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from remainder of Micropolitan Statistical Area,Estimate; Total: - Different house in United States 1 year ago: - Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,Margin of Error; Total: - Different house in United States 1 year ago: - Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,Estimate; Total: - Abroad 1 year ago,Margin of Error; Total: - Abroad 1 year ago
1500000US060871001001,060871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",1021,218,827,197,194,122,100,81,80,70,20,24,86,72,37,48,49,49,8,14,8,14,0,12,0,12,0,12
1500000US060871001002,060871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",1144,173,1075,150,69,56,33,28,28,26,5,7,36,46,36,46,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060871002001,060871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",827,468,618,435,209,226,96,149,0,12,96,149,0,12,0,12,0,12,0,12,0,12,0,12,113,174,0,12
1500000US060871002002,060871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",751,275,749,275,2,3,1,2,1,2,0,12,1,3,1,3,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060871002003,060871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",1563,499,1189,315,346,388,218,281,144,206,74,80,70,98,60,97,10,13,58,90,0,12,58,90,0,12,28,39
1500000US060871002004,060871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",777,313,646,296,131,151,131,151,131,151,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060871002005,060871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",1379,431,957,314,422,302,345,279,230,242,115,140,77,85,13,23,64,82,0,12,0,12,0,12,0,12,0,12
1500000US060871002006,060871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",1288,464,870,398,418,258,393,260,243,153,150,117,25,31,6,12,19,20,0,12,0,12,0,12,0,12,0,12
1500000US060871002007,060871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",605,394,505,366,100,128,88,126,0,12,88,126,12,21,0,12,12,21,0,12,0,12,0,12,0,12,0,12
