GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1500000US060871001001,060871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",316,59,274,55,42,41
1500000US060871001002,060871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",419,47,371,52,48,29
1500000US060871002001,060871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",304,126,222,108,82,89
1500000US060871002002,060871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",280,82,206,88,74,60
1500000US060871002003,060871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",551,116,364,93,187,112
1500000US060871002004,060871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",295,105,176,86,119,88
1500000US060871002005,060871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",565,117,165,68,400,144
1500000US060871002006,060871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",339,114,30,34,309,111
1500000US060871002007,060871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",274,135,57,44,217,124
1500000US060871003001,060871003001,"Block Group 1, Census Tract 1003, Santa Cruz County, California",542,82,368,80,174,76
1500000US060871003002,060871003002,"Block Group 2, Census Tract 1003, Santa Cruz County, California",674,86,438,83,236,90
1500000US060871004001,060871004001,"Block Group 1, Census Tract 1004, Santa Cruz County, California",119,24,109,23,10,9
1500000US060871004002,060871004002,"Block Group 2, Census Tract 1004, Santa Cruz County, California",0,12,0,12,0,12
1500000US060871004003,060871004003,"Block Group 3, Census Tract 1004, Santa Cruz County, California",288,51,32,46,256,62
1500000US060871005001,060871005001,"Block Group 1, Census Tract 1005, Santa Cruz County, California",436,94,202,79,234,113
1500000US060871005002,060871005002,"Block Group 2, Census Tract 1005, Santa Cruz County, California",796,113,534,103,262,103
1500000US060871005003,060871005003,"Block Group 3, Census Tract 1005, Santa Cruz County, California",840,133,386,86,454,146
1500000US060871006001,060871006001,"Block Group 1, Census Tract 1006, Santa Cruz County, California",592,109,322,84,270,98
1500000US060871006002,060871006002,"Block Group 2, Census Tract 1006, Santa Cruz County, California",406,69,270,77,136,58
1500000US060871006003,060871006003,"Block Group 3, Census Tract 1006, Santa Cruz County, California",272,60,217,60,55,40
1500000US060871007001,060871007001,"Block Group 1, Census Tract 1007, Santa Cruz County, California",333,67,153,49,180,53
1500000US060871007002,060871007002,"Block Group 2, Census Tract 1007, Santa Cruz County, California",559,98,64,38,495,100
1500000US060871008001,060871008001,"Block Group 1, Census Tract 1008, Santa Cruz County, California",589,123,186,90,403,108
1500000US060871008002,060871008002,"Block Group 2, Census Tract 1008, Santa Cruz County, California",396,114,159,73,237,117
1500000US060871008003,060871008003,"Block Group 3, Census Tract 1008, Santa Cruz County, California",555,135,97,85,458,121
1500000US060871008004,060871008004,"Block Group 4, Census Tract 1008, Santa Cruz County, California",793,165,93,77,700,183
1500000US060871008005,060871008005,"Block Group 5, Census Tract 1008, Santa Cruz County, California",415,108,207,77,208,112
1500000US060871008006,060871008006,"Block Group 6, Census Tract 1008, Santa Cruz County, California",182,99,77,74,105,75
1500000US060871009001,060871009001,"Block Group 1, Census Tract 1009, Santa Cruz County, California",405,93,357,94,48,38
1500000US060871009002,060871009002,"Block Group 2, Census Tract 1009, Santa Cruz County, California",926,129,240,106,686,149
1500000US060871009003,060871009003,"Block Group 3, Census Tract 1009, Santa Cruz County, California",305,97,76,51,229,95
1500000US060871009004,060871009004,"Block Group 4, Census Tract 1009, Santa Cruz County, California",153,74,78,48,75,52
1500000US060871009005,060871009005,"Block Group 5, Census Tract 1009, Santa Cruz County, California",153,67,25,28,128,57
1500000US060871010001,060871010001,"Block Group 1, Census Tract 1010, Santa Cruz County, California",779,154,33,51,746,149
1500000US060871010002,060871010002,"Block Group 2, Census Tract 1010, Santa Cruz County, California",245,104,25,29,220,101
1500000US060871010003,060871010003,"Block Group 3, Census Tract 1010, Santa Cruz County, California",293,118,100,65,193,113
1500000US060871010004,060871010004,"Block Group 4, Census Tract 1010, Santa Cruz County, California",193,94,18,27,175,98
1500000US060871010005,060871010005,"Block Group 5, Census Tract 1010, Santa Cruz County, California",223,62,153,64,70,42
1500000US060871010006,060871010006,"Block Group 6, Census Tract 1010, Santa Cruz County, California",1093,172,206,77,887,195
1500000US060871010007,060871010007,"Block Group 7, Census Tract 1010, Santa Cruz County, California",555,158,37,34,518,163
1500000US060871011001,060871011001,"Block Group 1, Census Tract 1011, Santa Cruz County, California",365,90,192,77,173,96
1500000US060871011002,060871011002,"Block Group 2, Census Tract 1011, Santa Cruz County, California",407,87,136,70,271,102
1500000US060871011003,060871011003,"Block Group 3, Census Tract 1011, Santa Cruz County, California",294,84,150,62,144,90
1500000US060871011004,060871011004,"Block Group 4, Census Tract 1011, Santa Cruz County, California",662,125,320,89,342,113
1500000US060871011005,060871011005,"Block Group 5, Census Tract 1011, Santa Cruz County, California",386,100,240,108,146,75
1500000US060871012001,060871012001,"Block Group 1, Census Tract 1012, Santa Cruz County, California",304,81,117,50,187,70
1500000US060871012002,060871012002,"Block Group 2, Census Tract 1012, Santa Cruz County, California",325,64,229,69,96,42
1500000US060871012003,060871012003,"Block Group 3, Census Tract 1012, Santa Cruz County, California",529,89,380,86,149,81
1500000US060871101001,060871101001,"Block Group 1, Census Tract 1101, Santa Cruz County, California",311,132,120,78,191,126
1500000US060871101002,060871101002,"Block Group 2, Census Tract 1101, Santa Cruz County, California",377,109,150,87,227,107
1500000US060871101003,060871101003,"Block Group 3, Census Tract 1101, Santa Cruz County, California",487,123,280,114,207,85
1500000US060871101004,060871101004,"Block Group 4, Census Tract 1101, Santa Cruz County, California",1225,147,875,155,350,112
1500000US060871102001,060871102001,"Block Group 1, Census Tract 1102, Santa Cruz County, California",453,130,166,88,287,103
1500000US060871102002,060871102002,"Block Group 2, Census Tract 1102, Santa Cruz County, California",449,116,213,95,236,105
1500000US060871102003,060871102003,"Block Group 3, Census Tract 1102, Santa Cruz County, California",348,113,99,50,249,107
1500000US060871102004,060871102004,"Block Group 4, Census Tract 1102, Santa Cruz County, California",412,117,165,72,247,121
1500000US060871102005,060871102005,"Block Group 5, Census Tract 1102, Santa Cruz County, California",519,124,285,85,234,121
1500000US060871103001,060871103001,"Block Group 1, Census Tract 1103, Santa Cruz County, California",329,83,50,38,279,79
1500000US060871103002,060871103002,"Block Group 2, Census Tract 1103, Santa Cruz County, California",406,91,40,28,366,96
1500000US060871103003,060871103003,"Block Group 3, Census Tract 1103, Santa Cruz County, California",492,99,19,30,473,100
1500000US060871103004,060871103004,"Block Group 4, Census Tract 1103, Santa Cruz County, California",565,107,106,58,459,102
1500000US060871104001,060871104001,"Block Group 1, Census Tract 1104, Santa Cruz County, California",560,101,41,40,519,100
1500000US060871104002,060871104002,"Block Group 2, Census Tract 1104, Santa Cruz County, California",329,80,56,47,273,84
1500000US060871104003,060871104003,"Block Group 3, Census Tract 1104, Santa Cruz County, California",294,72,103,60,191,74
1500000US060871104004,060871104004,"Block Group 4, Census Tract 1104, Santa Cruz County, California",786,111,583,96,203,69
1500000US060871105011,060871105011,"Block Group 1, Census Tract 1105.01, Santa Cruz County, California",716,153,129,66,587,149
1500000US060871105012,060871105012,"Block Group 2, Census Tract 1105.01, Santa Cruz County, California",609,136,127,56,482,143
1500000US060871105013,060871105013,"Block Group 3, Census Tract 1105.01, Santa Cruz County, California",309,75,228,71,81,48
1500000US060871105014,060871105014,"Block Group 4, Census Tract 1105.01, Santa Cruz County, California",314,112,189,96,125,77
1500000US060871105021,060871105021,"Block Group 1, Census Tract 1105.02, Santa Cruz County, California",584,98,373,90,211,83
1500000US060871105022,060871105022,"Block Group 2, Census Tract 1105.02, Santa Cruz County, California",635,112,128,63,507,108
1500000US060871105023,060871105023,"Block Group 3, Census Tract 1105.02, Santa Cruz County, California",241,53,136,37,105,40
1500000US060871106001,060871106001,"Block Group 1, Census Tract 1106, Santa Cruz County, California",593,138,379,132,214,115
1500000US060871106002,060871106002,"Block Group 2, Census Tract 1106, Santa Cruz County, California",277,84,232,84,45,50
1500000US060871106003,060871106003,"Block Group 3, Census Tract 1106, Santa Cruz County, California",264,106,179,79,85,85
1500000US060871106004,060871106004,"Block Group 4, Census Tract 1106, Santa Cruz County, California",695,145,254,117,441,114
1500000US060871106005,060871106005,"Block Group 5, Census Tract 1106, Santa Cruz County, California",299,94,138,62,161,81
1500000US060871107001,060871107001,"Block Group 1, Census Tract 1107, Santa Cruz County, California",388,73,140,41,248,68
1500000US060871107002,060871107002,"Block Group 2, Census Tract 1107, Santa Cruz County, California",281,60,205,60,76,40
1500000US060871107003,060871107003,"Block Group 3, Census Tract 1107, Santa Cruz County, California",213,59,137,49,76,50
1500000US060871202001,060871202001,"Block Group 1, Census Tract 1202, Santa Cruz County, California",1117,97,824,104,293,64
1500000US060871202002,060871202002,"Block Group 2, Census Tract 1202, Santa Cruz County, California",492,73,432,67,60,40
1500000US060871203011,060871203011,"Block Group 1, Census Tract 1203.01, Santa Cruz County, California",855,139,651,143,204,85
1500000US060871203012,060871203012,"Block Group 2, Census Tract 1203.01, Santa Cruz County, California",767,119,616,103,151,92
1500000US060871203013,060871203013,"Block Group 3, Census Tract 1203.01, Santa Cruz County, California",530,147,459,145,71,53
