GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
1500000US060871001001,60871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",95625,25015
1500000US060871001002,60871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",111094,29632
1500000US060871002001,60871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",92557,44537
1500000US060871002002,60871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",96538,27490
1500000US060871002003,60871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",71761,12358
1500000US060871002004,60871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",77943,59363
1500000US060871002005,60871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",37321,13215
1500000US060871002006,60871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",21736,17551
1500000US060871002007,60871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",69583,89257
1500000US060871003001,60871003001,"Block Group 1, Census Tract 1003, Santa Cruz County, California",80556,32160
1500000US060871003002,60871003002,"Block Group 2, Census Tract 1003, Santa Cruz County, California",89821,42085
1500000US060871004001,60871004001,"Block Group 1, Census Tract 1004, Santa Cruz County, California",106375,11290
1500000US060871004002,60871004002,"Block Group 2, Census Tract 1004, Santa Cruz County, California",-,**
1500000US060871004003,60871004003,"Block Group 3, Census Tract 1004, Santa Cruz County, California",44286,31182
1500000US060871005001,60871005001,"Block Group 1, Census Tract 1005, Santa Cruz County, California",105833,18269
1500000US060871005002,60871005002,"Block Group 2, Census Tract 1005, Santa Cruz County, California",87609,15934
1500000US060871005003,60871005003,"Block Group 3, Census Tract 1005, Santa Cruz County, California",79545,26563
1500000US060871006001,60871006001,"Block Group 1, Census Tract 1006, Santa Cruz County, California",72961,5906
1500000US060871006002,60871006002,"Block Group 2, Census Tract 1006, Santa Cruz County, California",76833,39134
1500000US060871006003,60871006003,"Block Group 3, Census Tract 1006, Santa Cruz County, California",70476,13162
1500000US060871007001,60871007001,"Block Group 1, Census Tract 1007, Santa Cruz County, California",50982,10353
1500000US060871007002,60871007002,"Block Group 2, Census Tract 1007, Santa Cruz County, California",37599,25816
1500000US060871008001,60871008001,"Block Group 1, Census Tract 1008, Santa Cruz County, California",50089,46185
1500000US060871008002,60871008002,"Block Group 2, Census Tract 1008, Santa Cruz County, California",64779,9632
1500000US060871008003,60871008003,"Block Group 3, Census Tract 1008, Santa Cruz County, California",27106,28924
1500000US060871008004,60871008004,"Block Group 4, Census Tract 1008, Santa Cruz County, California",54289,13832
1500000US060871008005,60871008005,"Block Group 5, Census Tract 1008, Santa Cruz County, California",72596,35448
1500000US060871008006,60871008006,"Block Group 6, Census Tract 1008, Santa Cruz County, California",47685,51966
1500000US060871009001,60871009001,"Block Group 1, Census Tract 1009, Santa Cruz County, California",86458,37928
1500000US060871009002,60871009002,"Block Group 2, Census Tract 1009, Santa Cruz County, California",34243,12376
1500000US060871009003,60871009003,"Block Group 3, Census Tract 1009, Santa Cruz County, California",71701,10010
1500000US060871009004,60871009004,"Block Group 4, Census Tract 1009, Santa Cruz County, California",95361,23415
1500000US060871009005,60871009005,"Block Group 5, Census Tract 1009, Santa Cruz County, California",88661,34355
1500000US060871010001,60871010001,"Block Group 1, Census Tract 1010, Santa Cruz County, California",30553,8365
1500000US060871010002,60871010002,"Block Group 2, Census Tract 1010, Santa Cruz County, California",41860,10955
1500000US060871010003,60871010003,"Block Group 3, Census Tract 1010, Santa Cruz County, California",19085,9614
1500000US060871010004,60871010004,"Block Group 4, Census Tract 1010, Santa Cruz County, California",23527,37648
1500000US060871010005,60871010005,"Block Group 5, Census Tract 1010, Santa Cruz County, California",92422,33354
1500000US060871010006,60871010006,"Block Group 6, Census Tract 1010, Santa Cruz County, California",40532,20561
1500000US060871010007,60871010007,"Block Group 7, Census Tract 1010, Santa Cruz County, California",32361,23406
1500000US060871011001,60871011001,"Block Group 1, Census Tract 1011, Santa Cruz County, California",71696,19750
1500000US060871011002,60871011002,"Block Group 2, Census Tract 1011, Santa Cruz County, California",72946,52307
1500000US060871011003,60871011003,"Block Group 3, Census Tract 1011, Santa Cruz County, California",32083,40506
1500000US060871011004,60871011004,"Block Group 4, Census Tract 1011, Santa Cruz County, California",76250,24990
1500000US060871011005,60871011005,"Block Group 5, Census Tract 1011, Santa Cruz County, California",64167,15568
1500000US060871012001,60871012001,"Block Group 1, Census Tract 1012, Santa Cruz County, California",31964,61143
1500000US060871012002,60871012002,"Block Group 2, Census Tract 1012, Santa Cruz County, California",108669,35997
1500000US060871012003,60871012003,"Block Group 3, Census Tract 1012, Santa Cruz County, California",65774,13385
1500000US060871101001,60871101001,"Block Group 1, Census Tract 1101, Santa Cruz County, California",34850,23222
1500000US060871101002,60871101002,"Block Group 2, Census Tract 1101, Santa Cruz County, California",40083,40573
1500000US060871101003,60871101003,"Block Group 3, Census Tract 1101, Santa Cruz County, California",62917,23924
1500000US060871101004,60871101004,"Block Group 4, Census Tract 1101, Santa Cruz County, California",46336,24060
1500000US060871102001,60871102001,"Block Group 1, Census Tract 1102, Santa Cruz County, California",48906,29335
1500000US060871102002,60871102002,"Block Group 2, Census Tract 1102, Santa Cruz County, California",51563,8552
1500000US060871102003,60871102003,"Block Group 3, Census Tract 1102, Santa Cruz County, California",54539,25642
1500000US060871102004,60871102004,"Block Group 4, Census Tract 1102, Santa Cruz County, California",58571,46521
1500000US060871102005,60871102005,"Block Group 5, Census Tract 1102, Santa Cruz County, California",63646,42291
1500000US060871103001,60871103001,"Block Group 1, Census Tract 1103, Santa Cruz County, California",42563,19685
1500000US060871103002,60871103002,"Block Group 2, Census Tract 1103, Santa Cruz County, California",23547,4086
1500000US060871103003,60871103003,"Block Group 3, Census Tract 1103, Santa Cruz County, California",43333,14437
1500000US060871103004,60871103004,"Block Group 4, Census Tract 1103, Santa Cruz County, California",25417,8286
1500000US060871104001,60871104001,"Block Group 1, Census Tract 1104, Santa Cruz County, California",27317,10164
1500000US060871104002,60871104002,"Block Group 2, Census Tract 1104, Santa Cruz County, California",37125,11979
1500000US060871104003,60871104003,"Block Group 3, Census Tract 1104, Santa Cruz County, California",42143,11257
1500000US060871104004,60871104004,"Block Group 4, Census Tract 1104, Santa Cruz County, California",87875,11479
1500000US060871105011,60871105011,"Block Group 1, Census Tract 1105.01, Santa Cruz County, California",26796,6253
1500000US060871105012,60871105012,"Block Group 2, Census Tract 1105.01, Santa Cruz County, California",35337,12711
1500000US060871105013,60871105013,"Block Group 3, Census Tract 1105.01, Santa Cruz County, California",56713,26260
1500000US060871105014,60871105014,"Block Group 4, Census Tract 1105.01, Santa Cruz County, California",73333,39133
1500000US060871105021,60871105021,"Block Group 1, Census Tract 1105.02, Santa Cruz County, California",44545,10036
1500000US060871105022,60871105022,"Block Group 2, Census Tract 1105.02, Santa Cruz County, California",46250,14250
1500000US060871105023,60871105023,"Block Group 3, Census Tract 1105.02, Santa Cruz County, California",51534,17736
1500000US060871106001,60871106001,"Block Group 1, Census Tract 1106, Santa Cruz County, California",65931,15947
1500000US060871106002,60871106002,"Block Group 2, Census Tract 1106, Santa Cruz County, California",59180,23500
1500000US060871106003,60871106003,"Block Group 3, Census Tract 1106, Santa Cruz County, California",74125,51553
1500000US060871106004,60871106004,"Block Group 4, Census Tract 1106, Santa Cruz County, California",20787,8613
1500000US060871106005,60871106005,"Block Group 5, Census Tract 1106, Santa Cruz County, California",45580,21034
1500000US060871107001,60871107001,"Block Group 1, Census Tract 1107, Santa Cruz County, California",52750,22451
1500000US060871107002,60871107002,"Block Group 2, Census Tract 1107, Santa Cruz County, California",59962,37555
1500000US060871107003,60871107003,"Block Group 3, Census Tract 1107, Santa Cruz County, California",46174,7114
1500000US060871202001,60871202001,"Block Group 1, Census Tract 1202, Santa Cruz County, California",87933,9092
1500000US060871202002,60871202002,"Block Group 2, Census Tract 1202, Santa Cruz County, California",80357,27282
1500000US060871203011,60871203011,"Block Group 1, Census Tract 1203.01, Santa Cruz County, California",108324,34259
1500000US060871203012,60871203012,"Block Group 2, Census Tract 1203.01, Santa Cruz County, California",74271,14422
1500000US060871203013,60871203013,"Block Group 3, Census Tract 1203.01, Santa Cruz County, California",88214,25569
1500000US060871203021,60871203021,"Block Group 1, Census Tract 1203.02, Santa Cruz County, California",99271,48724
