GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
1500000US060871001001,060871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",98333,66334
1500000US060871001002,060871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",122981,38286
1500000US060871002001,060871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",92557,44537
1500000US060871002002,060871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",100029,21429
1500000US060871002003,060871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",71761,16778
1500000US060871002004,060871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",52292,60916
1500000US060871002005,060871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",43621,32686
1500000US060871002006,060871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",16471,17058
1500000US060871002007,060871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",69583,89257
1500000US060871003001,060871003001,"Block Group 1, Census Tract 1003, Santa Cruz County, California",90000,28618
1500000US060871003002,060871003002,"Block Group 2, Census Tract 1003, Santa Cruz County, California",122222,58524
1500000US060871004001,060871004001,"Block Group 1, Census Tract 1004, Santa Cruz County, California",105750,35398
1500000US060871004002,060871004002,"Block Group 2, Census Tract 1004, Santa Cruz County, California",-,**
1500000US060871004003,060871004003,"Block Group 3, Census Tract 1004, Santa Cruz County, California",54559,13035
1500000US060871005001,060871005001,"Block Group 1, Census Tract 1005, Santa Cruz County, California",100313,20302
1500000US060871005002,060871005002,"Block Group 2, Census Tract 1005, Santa Cruz County, California",86806,17320
1500000US060871005003,060871005003,"Block Group 3, Census Tract 1005, Santa Cruz County, California",78409,28163
1500000US060871006001,060871006001,"Block Group 1, Census Tract 1006, Santa Cruz County, California",77750,22090
1500000US060871006002,060871006002,"Block Group 2, Census Tract 1006, Santa Cruz County, California",75083,26821
1500000US060871006003,060871006003,"Block Group 3, Census Tract 1006, Santa Cruz County, California",67132,12990
1500000US060871007001,060871007001,"Block Group 1, Census Tract 1007, Santa Cruz County, California",52868,16115
1500000US060871007002,060871007002,"Block Group 2, Census Tract 1007, Santa Cruz County, California",21250,7566
1500000US060871008001,060871008001,"Block Group 1, Census Tract 1008, Santa Cruz County, California",45875,32684
1500000US060871008002,060871008002,"Block Group 2, Census Tract 1008, Santa Cruz County, California",65595,15581
