GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1500000US060871001001,060871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",644100,36940
1500000US060871001002,060871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",645700,48856
1500000US060871002001,060871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",495100,157419
1500000US060871002002,060871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",588600,123891
1500000US060871002003,060871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",591500,33042
1500000US060871002004,060871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",604400,79385
1500000US060871002005,060871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",579200,121139
1500000US060871002006,060871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",-,**
1500000US060871002007,060871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",648400,50638
1500000US060871003001,060871003001,"Block Group 1, Census Tract 1003, Santa Cruz County, California",775200,125879
1500000US060871003002,060871003002,"Block Group 2, Census Tract 1003, Santa Cruz County, California",733400,72092
1500000US060871004001,060871004001,"Block Group 1, Census Tract 1004, Santa Cruz County, California",316700,60875
1500000US060871004002,060871004002,"Block Group 2, Census Tract 1004, Santa Cruz County, California",-,**
1500000US060871004003,060871004003,"Block Group 3, Census Tract 1004, Santa Cruz County, California",-,**
1500000US060871005001,060871005001,"Block Group 1, Census Tract 1005, Santa Cruz County, California",621000,277668
1500000US060871005002,060871005002,"Block Group 2, Census Tract 1005, Santa Cruz County, California",556500,127264
1500000US060871005003,060871005003,"Block Group 3, Census Tract 1005, Santa Cruz County, California",824200,109536
1500000US060871006001,060871006001,"Block Group 1, Census Tract 1006, Santa Cruz County, California",717900,85625
1500000US060871006002,060871006002,"Block Group 2, Census Tract 1006, Santa Cruz County, California",623600,41561
1500000US060871006003,060871006003,"Block Group 3, Census Tract 1006, Santa Cruz County, California",670100,80189
1500000US060871007001,060871007001,"Block Group 1, Census Tract 1007, Santa Cruz County, California",277900,163104
1500000US060871007002,060871007002,"Block Group 2, Census Tract 1007, Santa Cruz County, California",884600,321916
1500000US060871008001,060871008001,"Block Group 1, Census Tract 1008, Santa Cruz County, California",612500,376111
1500000US060871008002,060871008002,"Block Group 2, Census Tract 1008, Santa Cruz County, California",666200,80899
1500000US060871008003,060871008003,"Block Group 3, Census Tract 1008, Santa Cruz County, California",529500,304948
1500000US060871008004,060871008004,"Block Group 4, Census Tract 1008, Santa Cruz County, California",423300,193679
1500000US060871008005,060871008005,"Block Group 5, Census Tract 1008, Santa Cruz County, California",698300,90783
1500000US060871008006,060871008006,"Block Group 6, Census Tract 1008, Santa Cruz County, California",584500,191670
1500000US060871009001,060871009001,"Block Group 1, Census Tract 1009, Santa Cruz County, California",685200,50928
1500000US060871009002,060871009002,"Block Group 2, Census Tract 1009, Santa Cruz County, California",638300,91671
1500000US060871009003,060871009003,"Block Group 3, Census Tract 1009, Santa Cruz County, California",730800,384843
1500000US060871009004,060871009004,"Block Group 4, Census Tract 1009, Santa Cruz County, California",808800,298621
1500000US060871009005,060871009005,"Block Group 5, Census Tract 1009, Santa Cruz County, California",-,**
1500000US060871010001,060871010001,"Block Group 1, Census Tract 1010, Santa Cruz County, California",-,**
1500000US060871010002,060871010002,"Block Group 2, Census Tract 1010, Santa Cruz County, California",-,**
1500000US060871010003,060871010003,"Block Group 3, Census Tract 1010, Santa Cruz County, California",604200,83417
1500000US060871010004,060871010004,"Block Group 4, Census Tract 1010, Santa Cruz County, California",-,**
1500000US060871010005,060871010005,"Block Group 5, Census Tract 1010, Santa Cruz County, California",601700,104625
1500000US060871010006,060871010006,"Block Group 6, Census Tract 1010, Santa Cruz County, California",455400,53895
1500000US060871010007,060871010007,"Block Group 7, Census Tract 1010, Santa Cruz County, California",710200,175588
1500000US060871011001,060871011001,"Block Group 1, Census Tract 1011, Santa Cruz County, California",674500,91939
1500000US060871011002,060871011002,"Block Group 2, Census Tract 1011, Santa Cruz County, California",644900,150165
1500000US060871011003,060871011003,"Block Group 3, Census Tract 1011, Santa Cruz County, California",484400,135070
1500000US060871011004,060871011004,"Block Group 4, Census Tract 1011, Santa Cruz County, California",952100,190252
1500000US060871011005,060871011005,"Block Group 5, Census Tract 1011, Santa Cruz County, California",493300,198616
1500000US060871012001,060871012001,"Block Group 1, Census Tract 1012, Santa Cruz County, California",484100,160971
1500000US060871012002,060871012002,"Block Group 2, Census Tract 1012, Santa Cruz County, California",730300,80569
1500000US060871012003,060871012003,"Block Group 3, Census Tract 1012, Santa Cruz County, California",623100,156559
1500000US060871101001,060871101001,"Block Group 1, Census Tract 1101, Santa Cruz County, California",276400,18879
1500000US060871101002,060871101002,"Block Group 2, Census Tract 1101, Santa Cruz County, California",298100,79989
1500000US060871101003,060871101003,"Block Group 3, Census Tract 1101, Santa Cruz County, California",318800,88256
1500000US060871101004,060871101004,"Block Group 4, Census Tract 1101, Santa Cruz County, California",316600,31734
1500000US060871102001,060871102001,"Block Group 1, Census Tract 1102, Santa Cruz County, California",402900,147661
1500000US060871102002,060871102002,"Block Group 2, Census Tract 1102, Santa Cruz County, California",369800,42574
1500000US060871102003,060871102003,"Block Group 3, Census Tract 1102, Santa Cruz County, California",371700,70894
1500000US060871102004,060871102004,"Block Group 4, Census Tract 1102, Santa Cruz County, California",336200,134955
1500000US060871102005,060871102005,"Block Group 5, Census Tract 1102, Santa Cruz County, California",411200,38193
1500000US060871103001,060871103001,"Block Group 1, Census Tract 1103, Santa Cruz County, California",242100,47706
1500000US060871103002,060871103002,"Block Group 2, Census Tract 1103, Santa Cruz County, California",371400,131873
1500000US060871103003,060871103003,"Block Group 3, Census Tract 1103, Santa Cruz County, California",-,**
1500000US060871103004,060871103004,"Block Group 4, Census Tract 1103, Santa Cruz County, California",240900,70617
1500000US060871104001,060871104001,"Block Group 1, Census Tract 1104, Santa Cruz County, California","1,000,000+",***
1500000US060871104002,060871104002,"Block Group 2, Census Tract 1104, Santa Cruz County, California",234100,133221
1500000US060871104003,060871104003,"Block Group 3, Census Tract 1104, Santa Cruz County, California",225000,58144
1500000US060871104004,060871104004,"Block Group 4, Census Tract 1104, Santa Cruz County, California",360800,29622
1500000US060871105011,060871105011,"Block Group 1, Census Tract 1105.01, Santa Cruz County, California",314400,105447
1500000US060871105012,060871105012,"Block Group 2, Census Tract 1105.01, Santa Cruz County, California",303300,53430
1500000US060871105013,060871105013,"Block Group 3, Census Tract 1105.01, Santa Cruz County, California",213200,87655
1500000US060871105014,060871105014,"Block Group 4, Census Tract 1105.01, Santa Cruz County, California",302800,292002
1500000US060871105021,060871105021,"Block Group 1, Census Tract 1105.02, Santa Cruz County, California",212900,29908
1500000US060871105022,060871105022,"Block Group 2, Census Tract 1105.02, Santa Cruz County, California",295200,66686
1500000US060871105023,060871105023,"Block Group 3, Census Tract 1105.02, Santa Cruz County, California",338300,16500
1500000US060871106001,060871106001,"Block Group 1, Census Tract 1106, Santa Cruz County, California",264100,124396
1500000US060871106002,060871106002,"Block Group 2, Census Tract 1106, Santa Cruz County, California",351900,73320
1500000US060871106003,060871106003,"Block Group 3, Census Tract 1106, Santa Cruz County, California",285000,87267
1500000US060871106004,060871106004,"Block Group 4, Census Tract 1106, Santa Cruz County, California",239200,121172
1500000US060871106005,060871106005,"Block Group 5, Census Tract 1106, Santa Cruz County, California",246200,137068
1500000US060871107001,060871107001,"Block Group 1, Census Tract 1107, Santa Cruz County, California",368000,107570
1500000US060871107002,060871107002,"Block Group 2, Census Tract 1107, Santa Cruz County, California",393100,61039
1500000US060871107003,060871107003,"Block Group 3, Census Tract 1107, Santa Cruz County, California",411900,58774
1500000US060871202001,060871202001,"Block Group 1, Census Tract 1202, Santa Cruz County, California",655500,32477
1500000US060871202002,060871202002,"Block Group 2, Census Tract 1202, Santa Cruz County, California",630600,35218
1500000US060871203011,060871203011,"Block Group 1, Census Tract 1203.01, Santa Cruz County, California",493800,94114
1500000US060871203012,060871203012,"Block Group 2, Census Tract 1203.01, Santa Cruz County, California",550000,61964
1500000US060871203013,060871203013,"Block Group 3, Census Tract 1203.01, Santa Cruz County, California",452200,34427
1500000US060871203021,060871203021,"Block Group 1, Census Tract 1203.02, Santa Cruz County, California",426300,66223
1500000US060871203022,060871203022,"Block Group 2, Census Tract 1203.02, Santa Cruz County, California",561500,81776
1500000US060871203023,060871203023,"Block Group 3, Census Tract 1203.02, Santa Cruz County, California",633500,161850
1500000US060871204001,060871204001,"Block Group 1, Census Tract 1204, Santa Cruz County, California",373200,48210
1500000US060871204002,060871204002,"Block Group 2, Census Tract 1204, Santa Cruz County, California",547300,91469
1500000US060871204003,060871204003,"Block Group 3, Census Tract 1204, Santa Cruz County, California",562000,89208
1500000US060871204004,060871204004,"Block Group 4, Census Tract 1204, Santa Cruz County, California",426700,48821
1500000US060871205001,060871205001,"Block Group 1, Census Tract 1205, Santa Cruz County, California",926000,58157
1500000US060871205002,060871205002,"Block Group 2, Census Tract 1205, Santa Cruz County, California",904900,63528
1500000US060871205003,060871205003,"Block Group 3, Census Tract 1205, Santa Cruz County, California",383300,101018
1500000US060871205004,060871205004,"Block Group 4, Census Tract 1205, Santa Cruz County, California",385300,61238
1500000US060871205005,060871205005,"Block Group 5, Census Tract 1205, Santa Cruz County, California",599100,70784
1500000US060871206001,060871206001,"Block Group 1, Census Tract 1206, Santa Cruz County, California",261500,51869
1500000US060871206002,060871206002,"Block Group 2, Census Tract 1206, Santa Cruz County, California",423800,115031
1500000US060871206003,060871206003,"Block Group 3, Census Tract 1206, Santa Cruz County, California",506500,97108
1500000US060871206004,060871206004,"Block Group 4, Census Tract 1206, Santa Cruz County, California",527700,62244
1500000US060871206005,060871206005,"Block Group 5, Census Tract 1206, Santa Cruz County, California",617100,162764
1500000US060871207001,060871207001,"Block Group 1, Census Tract 1207, Santa Cruz County, California",545400,69765
1500000US060871207002,060871207002,"Block Group 2, Census Tract 1207, Santa Cruz County, California",475300,29908
1500000US060871207003,060871207003,"Block Group 3, Census Tract 1207, Santa Cruz County, California",501200,147464
1500000US060871208001,060871208001,"Block Group 1, Census Tract 1208, Santa Cruz County, California",466900,103661
1500000US060871208002,060871208002,"Block Group 2, Census Tract 1208, Santa Cruz County, California",749000,68865
1500000US060871208003,060871208003,"Block Group 3, Census Tract 1208, Santa Cruz County, California",864100,67574
1500000US060871209001,060871209001,"Block Group 1, Census Tract 1209, Santa Cruz County, California",806500,51067
1500000US060871209002,060871209002,"Block Group 2, Census Tract 1209, Santa Cruz County, California",842600,354271
1500000US060871209003,060871209003,"Block Group 3, Census Tract 1209, Santa Cruz County, California",615000,61551
1500000US060871209004,060871209004,"Block Group 4, Census Tract 1209, Santa Cruz County, California",465000,47831
1500000US060871210001,060871210001,"Block Group 1, Census Tract 1210, Santa Cruz County, California",802600,81238
1500000US060871210002,060871210002,"Block Group 2, Census Tract 1210, Santa Cruz County, California",792100,120454
1500000US060871210003,060871210003,"Block Group 3, Census Tract 1210, Santa Cruz County, California",766200,120307
1500000US060871211001,060871211001,"Block Group 1, Census Tract 1211, Santa Cruz County, California",878000,68825
1500000US060871211002,060871211002,"Block Group 2, Census Tract 1211, Santa Cruz County, California",535200,98946
1500000US060871212001,060871212001,"Block Group 1, Census Tract 1212, Santa Cruz County, California",768900,146040
1500000US060871212002,060871212002,"Block Group 2, Census Tract 1212, Santa Cruz County, California",743100,114923
1500000US060871212003,060871212003,"Block Group 3, Census Tract 1212, Santa Cruz County, California",659000,56814
1500000US060871212004,060871212004,"Block Group 4, Census Tract 1212, Santa Cruz County, California",940700,181266
1500000US060871212005,060871212005,"Block Group 5, Census Tract 1212, Santa Cruz County, California",871400,57855
1500000US060871213001,060871213001,"Block Group 1, Census Tract 1213, Santa Cruz County, California",650100,36569
1500000US060871213002,060871213002,"Block Group 2, Census Tract 1213, Santa Cruz County, California",628700,24117
1500000US060871213003,060871213003,"Block Group 3, Census Tract 1213, Santa Cruz County, California",568900,36211
1500000US060871213004,060871213004,"Block Group 4, Census Tract 1213, Santa Cruz County, California",551100,222909
1500000US060871214011,060871214011,"Block Group 1, Census Tract 1214.01, Santa Cruz County, California",430700,72785
1500000US060871214012,060871214012,"Block Group 2, Census Tract 1214.01, Santa Cruz County, California",595300,34698
1500000US060871214021,060871214021,"Block Group 1, Census Tract 1214.02, Santa Cruz County, California",537000,102564
1500000US060871214022,060871214022,"Block Group 2, Census Tract 1214.02, Santa Cruz County, California",464500,116441
1500000US060871214023,060871214023,"Block Group 3, Census Tract 1214.02, Santa Cruz County, California",538000,59561
1500000US060871214031,060871214031,"Block Group 1, Census Tract 1214.03, Santa Cruz County, California",365100,67000
1500000US060871214032,060871214032,"Block Group 2, Census Tract 1214.03, Santa Cruz County, California",444200,100499
1500000US060871214033,060871214033,"Block Group 3, Census Tract 1214.03, Santa Cruz County, California",399000,349854
1500000US060871215001,060871215001,"Block Group 1, Census Tract 1215, Santa Cruz County, California",669600,500286
1500000US060871215002,060871215002,"Block Group 2, Census Tract 1215, Santa Cruz County, California",552600,207098
1500000US060871215003,060871215003,"Block Group 3, Census Tract 1215, Santa Cruz County, California",160600,43141
1500000US060871215004,060871215004,"Block Group 4, Census Tract 1215, Santa Cruz County, California",728700,146182
1500000US060871215005,060871215005,"Block Group 5, Census Tract 1215, Santa Cruz County, California",555000,118061
1500000US060871216001,060871216001,"Block Group 1, Census Tract 1216, Santa Cruz County, California",243100,46076
