Id,Id2,Geography,total,moe,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1500000US060871001001,60871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",287,43,260,47,27,30
1500000US060871001002,60871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",433,48,378,49,55,33
1500000US060871002001,60871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",262,89,191,88,71,82
1500000US060871002002,60871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",300,95,188,102,112,81
1500000US060871002003,60871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",530,112,339,93,191,110
1500000US060871002004,60871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",259,91,161,90,98,72
1500000US060871002005,60871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",556,104,169,64,387,112
1500000US060871002006,60871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",402,124,36,37,366,132
1500000US060871002007,60871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",255,177,58,55,197,159
1500000US060871003001,60871003001,"Block Group 1, Census Tract 1003, Santa Cruz County, California",546,90,316,69,230,87
1500000US060871003002,60871003002,"Block Group 2, Census Tract 1003, Santa Cruz County, California",682,75,480,75,202,79
1500000US060871004001,60871004001,"Block Group 1, Census Tract 1004, Santa Cruz County, California",145,29,132,27,13,11
1500000US060871004002,60871004002,"Block Group 2, Census Tract 1004, Santa Cruz County, California",0,12,0,12,0,12
1500000US060871004003,60871004003,"Block Group 3, Census Tract 1004, Santa Cruz County, California",232,57,11,12,221,56
1500000US060871005001,60871005001,"Block Group 1, Census Tract 1005, Santa Cruz County, California",476,87,258,85,218,109
1500000US060871005002,60871005002,"Block Group 2, Census Tract 1005, Santa Cruz County, California",817,118,480,119,337,96
1500000US060871005003,60871005003,"Block Group 3, Census Tract 1005, Santa Cruz County, California",882,158,376,107,506,146
1500000US060871006001,60871006001,"Block Group 1, Census Tract 1006, Santa Cruz County, California",569,100,327,75,242,76
1500000US060871006002,60871006002,"Block Group 2, Census Tract 1006, Santa Cruz County, California",426,80,266,76,160,71
1500000US060871006003,60871006003,"Block Group 3, Census Tract 1006, Santa Cruz County, California",286,61,216,53,70,54
1500000US060871007001,60871007001,"Block Group 1, Census Tract 1007, Santa Cruz County, California",330,59,163,45,167,48
1500000US060871007002,60871007002,"Block Group 2, Census Tract 1007, Santa Cruz County, California",549,86,70,38,479,91
1500000US060871008001,60871008001,"Block Group 1, Census Tract 1008, Santa Cruz County, California",545,107,148,94,397,114
1500000US060871008002,60871008002,"Block Group 2, Census Tract 1008, Santa Cruz County, California",381,118,97,49,284,121
1500000US060871008003,60871008003,"Block Group 3, Census Tract 1008, Santa Cruz County, California",533,140,116,66,417,131
1500000US060871008004,60871008004,"Block Group 4, Census Tract 1008, Santa Cruz County, California",745,189,90,81,655,184
1500000US060871008005,60871008005,"Block Group 5, Census Tract 1008, Santa Cruz County, California",459,100,217,78,242,96
1500000US060871008006,60871008006,"Block Group 6, Census Tract 1008, Santa Cruz County, California",229,112,100,86,129,89
1500000US060871009001,60871009001,"Block Group 1, Census Tract 1009, Santa Cruz County, California",428,102,367,97,61,38
1500000US060871009002,60871009002,"Block Group 2, Census Tract 1009, Santa Cruz County, California",821,134,233,98,588,116
1500000US060871009003,60871009003,"Block Group 3, Census Tract 1009, Santa Cruz County, California",266,80,64,46,202,69
1500000US060871009004,60871009004,"Block Group 4, Census Tract 1009, Santa Cruz County, California",197,77,126,65,71,51
1500000US060871009005,60871009005,"Block Group 5, Census Tract 1009, Santa Cruz County, California",214,99,16,26,198,95
1500000US060871010001,60871010001,"Block Group 1, Census Tract 1010, Santa Cruz County, California",783,153,49,59,734,150
1500000US060871010002,60871010002,"Block Group 2, Census Tract 1010, Santa Cruz County, California",233,94,37,34,196,92
1500000US060871010003,60871010003,"Block Group 3, Census Tract 1010, Santa Cruz County, California",263,92,89,46,174,87
1500000US060871010004,60871010004,"Block Group 4, Census Tract 1010, Santa Cruz County, California",188,107,14,25,174,102
1500000US060871010005,60871010005,"Block Group 5, Census Tract 1010, Santa Cruz County, California",210,64,146,75,64,35
1500000US060871010006,60871010006,"Block Group 6, Census Tract 1010, Santa Cruz County, California",1128,232,226,86,902,227
1500000US060871010007,60871010007,"Block Group 7, Census Tract 1010, Santa Cruz County, California",589,177,59,40,530,175
1500000US060871011001,60871011001,"Block Group 1, Census Tract 1011, Santa Cruz County, California",334,86,169,63,165,87
