Id,Id2,Geography,total,moe
1500000US060871001001,60871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",-,**
1500000US060871001002,60871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",1927,289
1500000US060871002001,60871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",-,**
1500000US060871002002,60871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",1723,54
1500000US060871002003,60871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",1671,211
1500000US060871002004,60871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",1479,536
1500000US060871002005,60871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",1554,291
1500000US060871002006,60871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",990,322
1500000US060871002007,60871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",1326,196
1500000US060871003001,60871003001,"Block Group 1, Census Tract 1003, Santa Cruz County, California",745,266
1500000US060871003002,60871003002,"Block Group 2, Census Tract 1003, Santa Cruz County, California",1926,288
1500000US060871004001,60871004001,"Block Group 1, Census Tract 1004, Santa Cruz County, California",-,**
1500000US060871004002,60871004002,"Block Group 2, Census Tract 1004, Santa Cruz County, California",-,**
1500000US060871004003,60871004003,"Block Group 3, Census Tract 1004, Santa Cruz County, California",1387,27
1500000US060871005001,60871005001,"Block Group 1, Census Tract 1005, Santa Cruz County, California","2,000+",***
1500000US060871005002,60871005002,"Block Group 2, Census Tract 1005, Santa Cruz County, California",1546,264
1500000US060871005003,60871005003,"Block Group 3, Census Tract 1005, Santa Cruz County, California",1759,267
1500000US060871006001,60871006001,"Block Group 1, Census Tract 1006, Santa Cruz County, California",1541,266
1500000US060871006002,60871006002,"Block Group 2, Census Tract 1006, Santa Cruz County, California",1701,147
1500000US060871006003,60871006003,"Block Group 3, Census Tract 1006, Santa Cruz County, California",993,714
1500000US060871007001,60871007001,"Block Group 1, Census Tract 1007, Santa Cruz County, California",1426,223
1500000US060871007002,60871007002,"Block Group 2, Census Tract 1007, Santa Cruz County, California",1182,312
1500000US060871008001,60871008001,"Block Group 1, Census Tract 1008, Santa Cruz County, California",1258,177
1500000US060871008002,60871008002,"Block Group 2, Census Tract 1008, Santa Cruz County, California",1405,231
1500000US060871008003,60871008003,"Block Group 3, Census Tract 1008, Santa Cruz County, California",1061,552
1500000US060871008004,60871008004,"Block Group 4, Census Tract 1008, Santa Cruz County, California",1401,169
1500000US060871008005,60871008005,"Block Group 5, Census Tract 1008, Santa Cruz County, California",1336,173
1500000US060871008006,60871008006,"Block Group 6, Census Tract 1008, Santa Cruz County, California",1212,584
1500000US060871009001,60871009001,"Block Group 1, Census Tract 1009, Santa Cruz County, California",1313,264
1500000US060871009002,60871009002,"Block Group 2, Census Tract 1009, Santa Cruz County, California",1174,201
1500000US060871009003,60871009003,"Block Group 3, Census Tract 1009, Santa Cruz County, California",1604,928
1500000US060871009004,60871009004,"Block Group 4, Census Tract 1009, Santa Cruz County, California",1903,408
1500000US060871009005,60871009005,"Block Group 5, Census Tract 1009, Santa Cruz County, California",1708,354
1500000US060871010001,60871010001,"Block Group 1, Census Tract 1010, Santa Cruz County, California",1107,111
1500000US060871010002,60871010002,"Block Group 2, Census Tract 1010, Santa Cruz County, California",1427,195
1500000US060871010003,60871010003,"Block Group 3, Census Tract 1010, Santa Cruz County, California",1619,266
1500000US060871010004,60871010004,"Block Group 4, Census Tract 1010, Santa Cruz County, California",918,723
1500000US060871010005,60871010005,"Block Group 5, Census Tract 1010, Santa Cruz County, California",1543,213
1500000US060871010006,60871010006,"Block Group 6, Census Tract 1010, Santa Cruz County, California",1435,138
1500000US060871010007,60871010007,"Block Group 7, Census Tract 1010, Santa Cruz County, California",1236,307
1500000US060871011001,60871011001,"Block Group 1, Census Tract 1011, Santa Cruz County, California",1329,393
1500000US060871011002,60871011002,"Block Group 2, Census Tract 1011, Santa Cruz County, California",1638,1444
1500000US060871011003,60871011003,"Block Group 3, Census Tract 1011, Santa Cruz County, California",1149,162
1500000US060871011004,60871011004,"Block Group 4, Census Tract 1011, Santa Cruz County, California",1714,220
1500000US060871011005,60871011005,"Block Group 5, Census Tract 1011, Santa Cruz County, California",1826,258
1500000US060871012001,60871012001,"Block Group 1, Census Tract 1012, Santa Cruz County, California",1247,778
1500000US060871012002,60871012002,"Block Group 2, Census Tract 1012, Santa Cruz County, California","2,000+",***
1500000US060871012003,60871012003,"Block Group 3, Census Tract 1012, Santa Cruz County, California","2,000+",***
1500000US060871101001,60871101001,"Block Group 1, Census Tract 1101, Santa Cruz County, California",890,182
1500000US060871101002,60871101002,"Block Group 2, Census Tract 1101, Santa Cruz County, California",971,654
1500000US060871101003,60871101003,"Block Group 3, Census Tract 1101, Santa Cruz County, California",971,145
1500000US060871101004,60871101004,"Block Group 4, Census Tract 1101, Santa Cruz County, California",1138,144
1500000US060871102001,60871102001,"Block Group 1, Census Tract 1102, Santa Cruz County, California",1632,570
1500000US060871102002,60871102002,"Block Group 2, Census Tract 1102, Santa Cruz County, California",1278,353
1500000US060871102003,60871102003,"Block Group 3, Census Tract 1102, Santa Cruz County, California",1058,463
1500000US060871102004,60871102004,"Block Group 4, Census Tract 1102, Santa Cruz County, California",1553,920
1500000US060871102005,60871102005,"Block Group 5, Census Tract 1102, Santa Cruz County, California",1234,789
1500000US060871103001,60871103001,"Block Group 1, Census Tract 1103, Santa Cruz County, California",1088,196
1500000US060871103002,60871103002,"Block Group 2, Census Tract 1103, Santa Cruz County, California",966,184
1500000US060871103003,60871103003,"Block Group 3, Census Tract 1103, Santa Cruz County, California",942,143
1500000US060871103004,60871103004,"Block Group 4, Census Tract 1103, Santa Cruz County, California",1106,123
1500000US060871104001,60871104001,"Block Group 1, Census Tract 1104, Santa Cruz County, California",988,114
1500000US060871104002,60871104002,"Block Group 2, Census Tract 1104, Santa Cruz County, California",891,187
1500000US060871104003,60871104003,"Block Group 3, Census Tract 1104, Santa Cruz County, California",1286,199
1500000US060871104004,60871104004,"Block Group 4, Census Tract 1104, Santa Cruz County, California",1457,219
1500000US060871105011,60871105011,"Block Group 1, Census Tract 1105.01, Santa Cruz County, California",1011,366
1500000US060871105012,60871105012,"Block Group 2, Census Tract 1105.01, Santa Cruz County, California",1119,189
1500000US060871105013,60871105013,"Block Group 3, Census Tract 1105.01, Santa Cruz County, California",1673,314
1500000US060871105014,60871105014,"Block Group 4, Census Tract 1105.01, Santa Cruz County, California",833,324
1500000US060871105021,60871105021,"Block Group 1, Census Tract 1105.02, Santa Cruz County, California",1238,484
1500000US060871105022,60871105022,"Block Group 2, Census Tract 1105.02, Santa Cruz County, California",1197,361
1500000US060871105023,60871105023,"Block Group 3, Census Tract 1105.02, Santa Cruz County, California",1369,226
1500000US060871106001,60871106001,"Block Group 1, Census Tract 1106, Santa Cruz County, California",1206,617
1500000US060871106002,60871106002,"Block Group 2, Census Tract 1106, Santa Cruz County, California",-,**
1500000US060871106003,60871106003,"Block Group 3, Census Tract 1106, Santa Cruz County, California",835,1324
1500000US060871106004,60871106004,"Block Group 4, Census Tract 1106, Santa Cruz County, California",688,537
1500000US060871106005,60871106005,"Block Group 5, Census Tract 1106, Santa Cruz County, California",903,304
1500000US060871107001,60871107001,"Block Group 1, Census Tract 1107, Santa Cruz County, California",1587,302
1500000US060871107002,60871107002,"Block Group 2, Census Tract 1107, Santa Cruz County, California",1661,288
1500000US060871107003,60871107003,"Block Group 3, Census Tract 1107, Santa Cruz County, California",1739,440
1500000US060871202001,60871202001,"Block Group 1, Census Tract 1202, Santa Cruz County, California",1207,340
1500000US060871202002,60871202002,"Block Group 2, Census Tract 1202, Santa Cruz County, California",1135,523
1500000US060871203011,60871203011,"Block Group 1, Census Tract 1203.01, Santa Cruz County, California",1056,318
1500000US060871203012,60871203012,"Block Group 2, Census Tract 1203.01, Santa Cruz County, California",885,448
1500000US060871203013,60871203013,"Block Group 3, Census Tract 1203.01, Santa Cruz County, California",1825,496
1500000US060871203021,60871203021,"Block Group 1, Census Tract 1203.02, Santa Cruz County, California",1061,250
1500000US060871203022,60871203022,"Block Group 2, Census Tract 1203.02, Santa Cruz County, California",1243,187
1500000US060871203023,60871203023,"Block Group 3, Census Tract 1203.02, Santa Cruz County, California",1155,166
1500000US060871204001,60871204001,"Block Group 1, Census Tract 1204, Santa Cruz County, California",1582,754
1500000US060871204002,60871204002,"Block Group 2, Census Tract 1204, Santa Cruz County, California",1589,940
