GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1500000US060871001001,060871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",99375,37892
1500000US060871001002,060871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",101118,23054
1500000US060871002001,060871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",72014,39314
1500000US060871002002,060871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",85583,19546
1500000US060871002003,060871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",72283,21392
1500000US060871002004,060871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",80362,44919
1500000US060871002005,060871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",39600,26454
1500000US060871002006,060871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",33077,12848
1500000US060871002007,060871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",31464,947
1500000US060871003001,060871003001,"Block Group 1, Census Tract 1003, Santa Cruz County, California",48750,35791
1500000US060871003002,060871003002,"Block Group 2, Census Tract 1003, Santa Cruz County, California",91042,26452
1500000US060871004001,060871004001,"Block Group 1, Census Tract 1004, Santa Cruz County, California",109844,26394
1500000US060871004002,060871004002,"Block Group 2, Census Tract 1004, Santa Cruz County, California",-,**
1500000US060871004003,060871004003,"Block Group 3, Census Tract 1004, Santa Cruz County, California",27857,15069
1500000US060871005001,060871005001,"Block Group 1, Census Tract 1005, Santa Cruz County, California",108750,26523
1500000US060871005002,060871005002,"Block Group 2, Census Tract 1005, Santa Cruz County, California",93090,29892
1500000US060871005003,060871005003,"Block Group 3, Census Tract 1005, Santa Cruz County, California",62170,22366
1500000US060871006001,060871006001,"Block Group 1, Census Tract 1006, Santa Cruz County, California",80197,27177
1500000US060871006002,060871006002,"Block Group 2, Census Tract 1006, Santa Cruz County, California",83889,31794
1500000US060871006003,060871006003,"Block Group 3, Census Tract 1006, Santa Cruz County, California",70714,20876
1500000US060871007001,060871007001,"Block Group 1, Census Tract 1007, Santa Cruz County, California",63214,19051
1500000US060871007002,060871007002,"Block Group 2, Census Tract 1007, Santa Cruz County, California",50156,14765
1500000US060871008001,060871008001,"Block Group 1, Census Tract 1008, Santa Cruz County, California",47396,38146
