Id,Id2,Geography,total,moe
1500000US060871001001,60871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",99375,37892
1500000US060871001002,60871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",101118,23054
1500000US060871002001,60871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",72014,39314
1500000US060871002002,60871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",85583,19546
1500000US060871002003,60871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",72283,21392
1500000US060871002004,60871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",80362,44919
1500000US060871002005,60871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",39600,26454
1500000US060871002006,60871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",33077,12848
1500000US060871002007,60871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",31464,947
1500000US060871003001,60871003001,"Block Group 1, Census Tract 1003, Santa Cruz County, California",48750,35791
1500000US060871003002,60871003002,"Block Group 2, Census Tract 1003, Santa Cruz County, California",91042,26452
1500000US060871004001,60871004001,"Block Group 1, Census Tract 1004, Santa Cruz County, California",109844,26394
1500000US060871004002,60871004002,"Block Group 2, Census Tract 1004, Santa Cruz County, California",-,**
1500000US060871004003,60871004003,"Block Group 3, Census Tract 1004, Santa Cruz County, California",27857,15069
1500000US060871005001,60871005001,"Block Group 1, Census Tract 1005, Santa Cruz County, California",108750,26523
1500000US060871005002,60871005002,"Block Group 2, Census Tract 1005, Santa Cruz County, California",93090,29892
1500000US060871005003,60871005003,"Block Group 3, Census Tract 1005, Santa Cruz County, California",62170,22366
1500000US060871006001,60871006001,"Block Group 1, Census Tract 1006, Santa Cruz County, California",80197,27177
1500000US060871006002,60871006002,"Block Group 2, Census Tract 1006, Santa Cruz County, California",83889,31794
1500000US060871006003,60871006003,"Block Group 3, Census Tract 1006, Santa Cruz County, California",70714,20876
1500000US060871007001,60871007001,"Block Group 1, Census Tract 1007, Santa Cruz County, California",63214,19051
1500000US060871007002,60871007002,"Block Group 2, Census Tract 1007, Santa Cruz County, California",50156,14765
1500000US060871008001,60871008001,"Block Group 1, Census Tract 1008, Santa Cruz County, California",47396,38146
1500000US060871008002,60871008002,"Block Group 2, Census Tract 1008, Santa Cruz County, California",66224,24837
1500000US060871008003,60871008003,"Block Group 3, Census Tract 1008, Santa Cruz County, California",27295,19337
1500000US060871008004,60871008004,"Block Group 4, Census Tract 1008, Santa Cruz County, California",54917,23895
1500000US060871008005,60871008005,"Block Group 5, Census Tract 1008, Santa Cruz County, California",56696,37606
1500000US060871008006,60871008006,"Block Group 6, Census Tract 1008, Santa Cruz County, California",48042,52681
1500000US060871009001,60871009001,"Block Group 1, Census Tract 1009, Santa Cruz County, California",65625,50096
1500000US060871009002,60871009002,"Block Group 2, Census Tract 1009, Santa Cruz County, California",40703,14101
1500000US060871009003,60871009003,"Block Group 3, Census Tract 1009, Santa Cruz County, California",76964,24747
1500000US060871009004,60871009004,"Block Group 4, Census Tract 1009, Santa Cruz County, California",83155,36843
1500000US060871009005,60871009005,"Block Group 5, Census Tract 1009, Santa Cruz County, California",101528,28442
1500000US060871010001,60871010001,"Block Group 1, Census Tract 1010, Santa Cruz County, California",30208,8372
1500000US060871010002,60871010002,"Block Group 2, Census Tract 1010, Santa Cruz County, California",49196,19725
1500000US060871010003,60871010003,"Block Group 3, Census Tract 1010, Santa Cruz County, California",23083,18175
1500000US060871010004,60871010004,"Block Group 4, Census Tract 1010, Santa Cruz County, California",24667,34292
1500000US060871010005,60871010005,"Block Group 5, Census Tract 1010, Santa Cruz County, California",68636,45789
1500000US060871010006,60871010006,"Block Group 6, Census Tract 1010, Santa Cruz County, California",35784,19063
1500000US060871010007,60871010007,"Block Group 7, Census Tract 1010, Santa Cruz County, California",38225,28075
1500000US060871011001,60871011001,"Block Group 1, Census Tract 1011, Santa Cruz County, California",69650,6292
1500000US060871011002,60871011002,"Block Group 2, Census Tract 1011, Santa Cruz County, California",54145,40680
1500000US060871011003,60871011003,"Block Group 3, Census Tract 1011, Santa Cruz County, California",78487,99738
1500000US060871011004,60871011004,"Block Group 4, Census Tract 1011, Santa Cruz County, California",70667,18977
1500000US060871011005,60871011005,"Block Group 5, Census Tract 1011, Santa Cruz County, California",59018,24328
1500000US060871012001,60871012001,"Block Group 1, Census Tract 1012, Santa Cruz County, California",33036,55568
1500000US060871012002,60871012002,"Block Group 2, Census Tract 1012, Santa Cruz County, California",104432,28493
1500000US060871012003,60871012003,"Block Group 3, Census Tract 1012, Santa Cruz County, California",71083,12895
1500000US060871101001,60871101001,"Block Group 1, Census Tract 1101, Santa Cruz County, California",34201,11902
1500000US060871101002,60871101002,"Block Group 2, Census Tract 1101, Santa Cruz County, California",24286,29324
1500000US060871101003,60871101003,"Block Group 3, Census Tract 1101, Santa Cruz County, California",67632,27093
1500000US060871101004,60871101004,"Block Group 4, Census Tract 1101, Santa Cruz County, California",63375,22497
1500000US060871102001,60871102001,"Block Group 1, Census Tract 1102, Santa Cruz County, California",48068,28463
1500000US060871102002,60871102002,"Block Group 2, Census Tract 1102, Santa Cruz County, California",58167,21250
1500000US060871102003,60871102003,"Block Group 3, Census Tract 1102, Santa Cruz County, California",60595,38390
1500000US060871102004,60871102004,"Block Group 4, Census Tract 1102, Santa Cruz County, California",51484,35754
1500000US060871102005,60871102005,"Block Group 5, Census Tract 1102, Santa Cruz County, California",85494,34755
1500000US060871103001,60871103001,"Block Group 1, Census Tract 1103, Santa Cruz County, California",38269,18148
1500000US060871103002,60871103002,"Block Group 2, Census Tract 1103, Santa Cruz County, California",23214,2608
1500000US060871103003,60871103003,"Block Group 3, Census Tract 1103, Santa Cruz County, California",43993,6345
1500000US060871103004,60871103004,"Block Group 4, Census Tract 1103, Santa Cruz County, California",42978,30486
1500000US060871104001,60871104001,"Block Group 1, Census Tract 1104, Santa Cruz County, California",33377,7905
1500000US060871104002,60871104002,"Block Group 2, Census Tract 1104, Santa Cruz County, California",37788,10918
1500000US060871104003,60871104003,"Block Group 3, Census Tract 1104, Santa Cruz County, California",45484,12925
1500000US060871104004,60871104004,"Block Group 4, Census Tract 1104, Santa Cruz County, California",89485,11135
1500000US060871105011,60871105011,"Block Group 1, Census Tract 1105.01, Santa Cruz County, California",28073,8582
1500000US060871105012,60871105012,"Block Group 2, Census Tract 1105.01, Santa Cruz County, California",31108,12228
1500000US060871105013,60871105013,"Block Group 3, Census Tract 1105.01, Santa Cruz County, California",57425,22283
1500000US060871105014,60871105014,"Block Group 4, Census Tract 1105.01, Santa Cruz County, California",64643,27668
1500000US060871105021,60871105021,"Block Group 1, Census Tract 1105.02, Santa Cruz County, California",55139,23419
1500000US060871105022,60871105022,"Block Group 2, Census Tract 1105.02, Santa Cruz County, California",53418,11791
1500000US060871105023,60871105023,"Block Group 3, Census Tract 1105.02, Santa Cruz County, California",60144,18431
1500000US060871106001,60871106001,"Block Group 1, Census Tract 1106, Santa Cruz County, California",58689,24935
1500000US060871106002,60871106002,"Block Group 2, Census Tract 1106, Santa Cruz County, California",57128,33633
1500000US060871106003,60871106003,"Block Group 3, Census Tract 1106, Santa Cruz County, California",32234,42169
1500000US060871106004,60871106004,"Block Group 4, Census Tract 1106, Santa Cruz County, California",23438,5275
1500000US060871106005,60871106005,"Block Group 5, Census Tract 1106, Santa Cruz County, California",44135,15009
1500000US060871107001,60871107001,"Block Group 1, Census Tract 1107, Santa Cruz County, California",45156,16801
1500000US060871107002,60871107002,"Block Group 2, Census Tract 1107, Santa Cruz County, California",60595,13366
1500000US060871107003,60871107003,"Block Group 3, Census Tract 1107, Santa Cruz County, California",45060,6606
1500000US060871202001,60871202001,"Block Group 1, Census Tract 1202, Santa Cruz County, California",79010,13609
1500000US060871202002,60871202002,"Block Group 2, Census Tract 1202, Santa Cruz County, California",84167,21615
1500000US060871203011,60871203011,"Block Group 1, Census Tract 1203.01, Santa Cruz County, California",84756,86877
1500000US060871203012,60871203012,"Block Group 2, Census Tract 1203.01, Santa Cruz County, California",71691,20140
1500000US060871203013,60871203013,"Block Group 3, Census Tract 1203.01, Santa Cruz County, California",88750,24344
1500000US060871203021,60871203021,"Block Group 1, Census Tract 1203.02, Santa Cruz County, California",71071,21706
1500000US060871203022,60871203022,"Block Group 2, Census Tract 1203.02, Santa Cruz County, California",73202,13443
1500000US060871203023,60871203023,"Block Group 3, Census Tract 1203.02, Santa Cruz County, California",57614,30546
1500000US060871204001,60871204001,"Block Group 1, Census Tract 1204, Santa Cruz County, California",93833,18895
1500000US060871204002,60871204002,"Block Group 2, Census Tract 1204, Santa Cruz County, California",91500,26162
1500000US060871204003,60871204003,"Block Group 3, Census Tract 1204, Santa Cruz County, California",92734,52364
1500000US060871204004,60871204004,"Block Group 4, Census Tract 1204, Santa Cruz County, California",78750,38128
1500000US060871205001,60871205001,"Block Group 1, Census Tract 1205, Santa Cruz County, California",156250,50941
1500000US060871205002,60871205002,"Block Group 2, Census Tract 1205, Santa Cruz County, California",136875,51427
1500000US060871205003,60871205003,"Block Group 3, Census Tract 1205, Santa Cruz County, California",50938,24035
1500000US060871205004,60871205004,"Block Group 4, Census Tract 1205, Santa Cruz County, California",39519,24829
1500000US060871205005,60871205005,"Block Group 5, Census Tract 1205, Santa Cruz County, California",83482,36871
1500000US060871206001,60871206001,"Block Group 1, Census Tract 1206, Santa Cruz County, California",71425,20013
1500000US060871206002,60871206002,"Block Group 2, Census Tract 1206, Santa Cruz County, California",81424,14863
1500000US060871206003,60871206003,"Block Group 3, Census Tract 1206, Santa Cruz County, California",92321,32589
1500000US060871206004,60871206004,"Block Group 4, Census Tract 1206, Santa Cruz County, California",80556,13170
1500000US060871206005,60871206005,"Block Group 5, Census Tract 1206, Santa Cruz County, California",85714,32754
1500000US060871207001,60871207001,"Block Group 1, Census Tract 1207, Santa Cruz County, California",48549,13590
1500000US060871207002,60871207002,"Block Group 2, Census Tract 1207, Santa Cruz County, California",83750,24822
1500000US060871207003,60871207003,"Block Group 3, Census Tract 1207, Santa Cruz County, California",67353,26603
1500000US060871208001,60871208001,"Block Group 1, Census Tract 1208, Santa Cruz County, California",50227,13326
1500000US060871208002,60871208002,"Block Group 2, Census Tract 1208, Santa Cruz County, California",136607,59607
1500000US060871208003,60871208003,"Block Group 3, Census Tract 1208, Santa Cruz County, California",139615,57006
1500000US060871209001,60871209001,"Block Group 1, Census Tract 1209, Santa Cruz County, California",110813,19808
1500000US060871209002,60871209002,"Block Group 2, Census Tract 1209, Santa Cruz County, California",117604,52625
1500000US060871209003,60871209003,"Block Group 3, Census Tract 1209, Santa Cruz County, California",101230,6558
1500000US060871209004,60871209004,"Block Group 4, Census Tract 1209, Santa Cruz County, California",88802,49239
1500000US060871210001,60871210001,"Block Group 1, Census Tract 1210, Santa Cruz County, California",137721,33000
1500000US060871210002,60871210002,"Block Group 2, Census Tract 1210, Santa Cruz County, California",118182,89652
1500000US060871210003,60871210003,"Block Group 3, Census Tract 1210, Santa Cruz County, California",116071,29018
1500000US060871211001,60871211001,"Block Group 1, Census Tract 1211, Santa Cruz County, California",108611,18846
1500000US060871211002,60871211002,"Block Group 2, Census Tract 1211, Santa Cruz County, California",58239,8900
1500000US060871212001,60871212001,"Block Group 1, Census Tract 1212, Santa Cruz County, California",126563,40739
1500000US060871212002,60871212002,"Block Group 2, Census Tract 1212, Santa Cruz County, California",127303,23245
1500000US060871212003,60871212003,"Block Group 3, Census Tract 1212, Santa Cruz County, California",100521,40582
1500000US060871212004,60871212004,"Block Group 4, Census Tract 1212, Santa Cruz County, California",129167,76505
1500000US060871212005,60871212005,"Block Group 5, Census Tract 1212, Santa Cruz County, California",82417,49768
1500000US060871213001,60871213001,"Block Group 1, Census Tract 1213, Santa Cruz County, California",64225,7656
1500000US060871213002,60871213002,"Block Group 2, Census Tract 1213, Santa Cruz County, California",104531,12874
1500000US060871213003,60871213003,"Block Group 3, Census Tract 1213, Santa Cruz County, California",74461,12274
1500000US060871213004,60871213004,"Block Group 4, Census Tract 1213, Santa Cruz County, California",39048,59010
1500000US060871214011,60871214011,"Block Group 1, Census Tract 1214.01, Santa Cruz County, California",55921,17738
1500000US060871214012,60871214012,"Block Group 2, Census Tract 1214.01, Santa Cruz County, California",58889,20516
1500000US060871214021,60871214021,"Block Group 1, Census Tract 1214.02, Santa Cruz County, California",53623,14397
1500000US060871214022,60871214022,"Block Group 2, Census Tract 1214.02, Santa Cruz County, California",54013,19079
1500000US060871214023,60871214023,"Block Group 3, Census Tract 1214.02, Santa Cruz County, California",96250,30669
1500000US060871214031,60871214031,"Block Group 1, Census Tract 1214.03, Santa Cruz County, California",60500,23617
1500000US060871214032,60871214032,"Block Group 2, Census Tract 1214.03, Santa Cruz County, California",107500,32251
1500000US060871214033,60871214033,"Block Group 3, Census Tract 1214.03, Santa Cruz County, California",78368,24317
1500000US060871215001,60871215001,"Block Group 1, Census Tract 1215, Santa Cruz County, California",107404,57372
1500000US060871215002,60871215002,"Block Group 2, Census Tract 1215, Santa Cruz County, California",84079,51387
1500000US060871215003,60871215003,"Block Group 3, Census Tract 1215, Santa Cruz County, California",50982,15375
1500000US060871215004,60871215004,"Block Group 4, Census Tract 1215, Santa Cruz County, California",47923,11541
1500000US060871215005,60871215005,"Block Group 5, Census Tract 1215, Santa Cruz County, California",23896,12068
1500000US060871216001,60871216001,"Block Group 1, Census Tract 1216, Santa Cruz County, California",43980,8612
1500000US060871216002,60871216002,"Block Group 2, Census Tract 1216, Santa Cruz County, California",87054,30553
1500000US060871216003,60871216003,"Block Group 3, Census Tract 1216, Santa Cruz County, California",53256,26639
1500000US060871216004,60871216004,"Block Group 4, Census Tract 1216, Santa Cruz County, California",92885,26801
1500000US060871216005,60871216005,"Block Group 5, Census Tract 1216, Santa Cruz County, California",30440,11640
1500000US060871217001,60871217001,"Block Group 1, Census Tract 1217, Santa Cruz County, California",69531,20168
1500000US060871217002,60871217002,"Block Group 2, Census Tract 1217, Santa Cruz County, California",60833,13282
1500000US060871217003,60871217003,"Block Group 3, Census Tract 1217, Santa Cruz County, California",107417,14818
1500000US060871217004,60871217004,"Block Group 4, Census Tract 1217, Santa Cruz County, California",42039,8510
1500000US060871217005,60871217005,"Block Group 5, Census Tract 1217, Santa Cruz County, California",58938,79006
1500000US060871217006,60871217006,"Block Group 6, Census Tract 1217, Santa Cruz County, California",73636,27321
1500000US060871218001,60871218001,"Block Group 1, Census Tract 1218, Santa Cruz County, California",87892,11966
1500000US060871218002,60871218002,"Block Group 2, Census Tract 1218, Santa Cruz County, California",51875,12019
